time,original data,fitted-baseline,baseline,original-baseline
0,1.3414,0.62304,0.7449,0.5965
0.206,1.1853,0.44581,0.74718,0.43812
0.412,1.0682,0.32287,0.74907,0.31913
0.618,0.97475,0.2376,0.75367,0.22108
0.824,0.96595,0.17754,0.76079,0.20516
1.03,0.97716,0.13233,0.75734,0.21982
1.236,1.4295,0.74976,0.75498,0.67452
1.442,1.3684,0.53146,0.75494,0.61346
1.648,1.244,0.38494,0.76165,0.48235
1.854,1.0766,0.27814,0.757,0.3196
2.06,0.96113,0.19893,0.73572,0.22541
2.266,0.86283,0.14515,0.72097,0.14186
2.472,0.81701,0.10697,0.70576,0.11125
2.678,0.77417,0.079181,0.68678,0.08739
2.884,0.72068,0.059303,0.66987,0.05081
3.09,0.66295,0.045131,0.65831,0.00464
3.296,0.64679,0.03448,0.64458,0.00221
3.502,0.62635,0.026607,0.63328,-0.00693
3.708,0.64805,0.020761,0.6255,0.02255
3.914,0.59288,0.016217,0.61545,-0.02257
4.12,0.64607,0.012949,0.61643,0.02964
4.326,0.57216,0.010342,0.61537,-0.04321
4.532,0.57344,0.0083215,0.61706,-0.04362
4.738,0.59826,0.0067521,0.6224,-0.02414
4.944,0.93773,0.39919,0.63109,0.30664
5.15,1.0162,0.29343,0.64356,0.37264
5.356,0.89361,0.21514,0.64652,0.24709
5.562,0.80991,0.15959,0.64921,0.1607
5.768,0.70593,0.11849,0.64505,0.06088
5.974,0.66366,0.090213,0.65011,0.01355
6.18,0.6211,0.069758,0.65884,-0.03774
6.386,0.61557,0.05554,0.68124,-0.06567
6.592,0.79715,0.045185,0.71389,0.08326
6.798,1.3261,0.56361,0.73536,0.59074
7.004,1.2576,0.41284,0.75265,0.50495
7.21,1.1126,0.30239,0.7607,0.3519
7.416,0.9912,0.22307,0.76483,0.22637
7.622,0.98567,0.16767,0.77434,0.21133
7.828,0.93857,0.12728,0.78285,0.15572
8.034,0.96368,0.096711,0.78398,0.1797
8.24,0.88808,0.072961,0.77202,0.11606
8.446,0.91077,0.055547,0.76054,0.15023
8.652,0.88254,0.041952,0.73748,0.14506
8.858,0.81047,0.031442,0.70483,0.10564
9.064,0.77799,0.023656,0.67217,0.10582
9.27,1.1199,0.44667,0.63952,0.48038
9.476,1.5322,1.1085,0.62177,0.91043
9.682,1.4443,0.79276,0.64035,0.80395
9.888,1.1831,0.54754,0.62886,0.55424
10.094,1.0739,0.39441,0.63597,0.43793
10.3,0.91758,0.28501,0.63708,0.2805
10.506,0.83886,0.20876,0.63891,0.19995
10.712,0.78934,0.15422,0.6385,0.15084
10.918,0.74366,0.11509,0.63722,0.10644
11.124,0.72211,0.087405,0.64023,0.08188
11.33,0.72366,0.066338,0.63648,0.08718
11.536,0.69599,0.051333,0.63929,0.0567
11.742,0.73146,0.03961,0.63512,0.09634
11.948,0.69885,0.030689,0.62902,0.06983
12.154,0.65586,0.023691,0.6168,0.03906
12.36,0.63089,0.018399,0.60521,0.02568
12.566,0.63315,0.014404,0.59583,0.03732
12.772,0.87289,0.40198,0.6003,0.27259
12.978,1.0001,0.29654,0.61568,0.38442
13.184,0.89687,0.21729,0.61943,0.27744
13.39,0.76722,0.15995,0.61849,0.14873
13.596,0.69984,0.11772,0.61034,0.0895
13.802,0.68679,0.088153,0.6061,0.08069
14.008,1.0264,0.5578,0.59466,0.43174
14.214,1.0421,0.40336,0.60536,0.43674
14.42,0.94878,0.29191,0.60895,0.33983
14.626,0.78793,0.20986,0.60098,0.18695
14.832,0.77942,0.15447,0.59994,0.17948
15.038,1.1006,0.65671,0.57705,0.52355
15.244,1.0007,0.46794,0.5829,0.4178
15.45,0.96027,0.33893,0.59095,0.36932
15.656,0.82963,0.24596,0.59274,0.23689
15.862,0.83092,0.18235,0.59996,0.23096
16.068,0.75785,0.13717,0.60882,0.14903
16.274,0.78919,0.10238,0.60611,0.18308
16.48,1.3343,0.60625,0.61715,0.71715
16.686,1.6086,1.2533,0.58449,1.02411
16.892,1.4589,0.91327,0.61715,0.84175
17.098,1.4981,0.67205,0.6498,0.8483
17.304,1.9473,1.4566,0.65976,1.28754
17.51,1.8771,1.054,0.69241,1.18469
17.716,1.627,0.77059,0.72506,0.90194
17.922,1.4027,0.55765,0.74201,0.66069
18.128,1.2424,0.40051,0.7441,0.4983
18.334,1.083,0.2885,0.73907,0.34393
18.54,1.013,0.2098,0.73204,0.28096
18.746,0.92624,0.15473,0.72669,0.19955
18.952,0.8414,0.11509,0.71945,0.12195
19.158,0.79161,0.086051,0.70854,0.08307
19.364,0.73927,0.064209,0.68974,0.04953
19.57,0.68211,0.049015,0.68098,0.00113
19.776,0.67146,0.037912,0.67598,-0.00452
19.982,0.66849,0.029385,0.66787,0.00062
20.188,0.67954,0.022819,0.65721,0.02233
20.394,1.0058,0.44297,0.63532,0.37048
20.6,0.98254,0.32232,0.64367,0.33887
20.806,0.89388,0.2345,0.64392,0.24996
21.012,0.76835,0.16917,0.63102,0.13733
21.218,0.72692,0.12577,0.62988,0.09704
21.424,0.67089,0.09609,0.63901,0.03188
21.63,0.86027,0.072519,0.63383,0.22644
21.836,1.0096,0.53615,0.61156,0.39804
22.042,0.97504,0.39238,0.6285,0.34654
22.248,0.89928,0.28951,0.64302,0.25626
22.454,1.4675,0.95785,0.66595,0.80155
22.66,1.5514,0.70296,0.6986,0.8528
22.866,1.39,0.52135,0.73125,0.65875
23.072,1.1979,0.38622,0.7549,0.443
23.278,1.0875,0.28434,0.76486,0.32264
23.484,0.95218,0.20814,0.76115,0.19103
23.69,0.88184,0.15548,0.76394,0.1179
23.896,0.8831,0.11876,0.7754,0.1077
24.102,0.90935,0.090998,0.78136,0.12799
24.308,0.92893,0.069975,0.78276,0.14617
24.514,0.8814,0.054273,0.78422,0.09718
24.72,0.81898,0.04203,0.77855,0.04043
24.926,0.80125,0.032485,0.76629,0.03496
25.132,0.78182,0.024916,0.74417,0.03765
25.338,0.78253,0.018909,0.71152,0.07101
25.544,0.86041,0.014827,0.69991,0.1605
25.75,1.1502,0.44944,0.67938,0.47082
25.956,1.5436,1.1212,0.64673,0.89687
26.162,1.4148,0.77473,0.64292,0.77188
26.368,1.1481,0.54382,0.64108,0.50702
26.574,1.0414,0.38283,0.63298,0.40842
26.78,0.87445,0.27222,0.62337,0.25108
26.986,0.80352,0.19612,0.61432,0.1892
27.192,0.73757,0.14437,0.61122,0.12635
27.398,0.65429,0.1065,0.60247,0.05182
27.604,0.67501,0.08108,0.60633,0.06868
27.81,0.72635,0.061584,0.6028,0.12355
28.016,1.0349,0.51727,0.60749,0.42741
28.222,0.9946,0.36918,0.60821,0.38639
28.428,0.9146,0.26558,0.60606,0.30854
28.634,0.83602,0.1942,0.60626,0.22976
28.84,0.7519,0.14227,0.60039,0.15151
29.046,0.69133,0.10415,0.58737,0.10396
29.252,1.0119,0.58531,0.58658,0.42532
29.458,1.0689,0.42375,0.59917,0.46973
29.664,1.0089,0.31353,0.6176,0.3913
29.87,0.98893,0.23071,0.62523,0.3637
30.076,1.1973,0.78016,0.59258,0.60472
30.282,1.2321,0.56267,0.60902,0.62308
30.488,1.0641,0.41222,0.62775,0.43635
30.694,0.98922,0.30248,0.63993,0.34929
30.9,0.90355,0.22225,0.64515,0.2584
31.106,0.85319,0.1654,0.6508,0.20239
31.312,0.82056,0.12216,0.64403,0.17653
31.518,1.1176,0.64914,0.63621,0.48139
31.724,1.1034,0.46424,0.64248,0.46092
31.93,1.0275,0.3403,0.65663,0.37087
32.136,0.95063,0.24965,0.66325,0.28738
32.342,0.87048,0.18181,0.65696,0.21352
32.548,0.78736,0.13393,0.65056,0.1368
32.754,0.73232,0.10078,0.65076,0.08156
32.96,0.92382,0.076353,0.64865,0.27517
33.166,1.0087,0.54416,0.616,0.3927
33.372,1.0482,0.39347,0.62566,0.42254
33.578,0.95687,0.28377,0.62586,0.33101
33.784,0.84466,0.20592,0.62212,0.22254
33.99,0.79885,0.15217,0.62221,0.17664
34.196,0.7316,0.11204,0.61296,0.11864
34.402,0.62366,0.083448,0.60425,0.01941
34.608,0.60677,0.063208,0.59975,0.00702
34.814,0.60223,0.048903,0.60251,-0.00028
35.02,0.52266,0.03827,0.60726,-0.0846
35.226,0.5716,0.030329,0.61536,-0.04376
35.432,0.55769,0.024496,0.63149,-0.0738
35.638,0.65614,0.020032,0.65257,0.00357
35.844,1.1423,0.46348,0.67477,0.46753
