time,original data,fitted-baseline,baseline,original-baseline,fitted
0,1.6897,1.1542,0.56531,1.12439,1.71951
0.206,1.4563,0.79468,0.56307,0.89323,1.35775
0.412,1.2616,0.54259,0.54918,0.71242,1.09177
0.618,1.4725,1.1112,0.51653,0.95597,1.62773
0.824,1.3941,0.77473,0.52189,0.87221,1.29662
1.03,1.5182,1.3806,0.50481,1.01339,1.88541
1.236,1.5728,1.0063,0.53746,1.03534,1.54376
1.442,1.4817,0.72368,0.55751,0.92419,1.28119
1.648,1.8044,1.3743,0.54511,1.25929,1.91941
1.854,1.5819,0.9999,0.57776,1.00414,1.57766
2.06,1.3749,0.73434,0.61041,0.76449,1.34475
2.266,1.326,0.54464,0.64307,0.68293,1.18771
2.472,1.5114,0.40806,0.67572,0.83568,1.08378
2.678,1.6325,1.1,0.66442,0.96808,1.76442
2.884,1.5621,0.78956,0.68505,0.87705,1.47461
3.09,1.2871,0.56989,0.70128,0.58582,1.27117
3.296,1.1856,0.41015,0.70677,0.47883,1.11692
3.502,1.1224,0.29345,0.69924,0.42316,0.99269
3.708,1.0929,0.21124,0.68749,0.40541,0.89873
3.914,1.3895,0.81539,0.66853,0.72097,1.48392
4.12,1.2668,0.56585,0.65931,0.60749,1.22516
4.326,1.0618,0.38329,0.62666,0.43514,1.00995
4.532,1.3159,0.98968,0.594,0.7219,1.58368
4.738,1.3733,0.70826,0.61074,0.76256,1.319
4.944,1.197,0.51187,0.62615,0.57085,1.13802
5.15,1.0323,0.36513,0.62561,0.40669,0.99074
5.356,0.89875,0.26171,0.62018,0.27857,0.88189
5.562,0.81284,0.19134,0.61942,0.19342,0.81076
5.768,0.7446,0.14201,0.62057,0.12403,0.76258
5.974,0.74851,0.10563,0.61604,0.13247,0.72167
6.18,0.71479,0.079747,0.61415,0.10064,0.693897
6.386,0.67864,0.059792,0.60211,0.07653,0.661902
6.592,0.64736,0.04661,0.6083,0.03906,0.65491
6.798,0.95514,0.47889,0.60118,0.35396,1.08007
7.004,0.9224,0.34724,0.60997,0.31243,0.95721
7.21,0.85547,0.2554,0.61994,0.23553,0.87534
7.416,0.75466,0.19232,0.63712,0.11754,0.82944
7.622,0.99648,0.1499,0.66978,0.3267,0.81968
7.828,0.97199,0.11002,0.65549,0.3165,0.76551
8.034,1.0736,0.6249,0.63743,0.43617,1.26233
8.24,1.12,0.44638,0.64202,0.47798,1.0884
8.446,1.003,0.32532,0.65144,0.35156,0.97676
8.652,0.84316,0.2345,0.64563,0.19753,0.88013
8.858,0.77266,0.17563,0.65679,0.11587,0.83242
9.064,0.9477,0.13449,0.67518,0.27252,0.80967
9.27,1.0256,0.10288,0.68577,0.33983,0.78865
9.476,0.91285,0.076699,0.67188,0.24097,0.748579
9.682,0.82273,0.05605,0.63923,0.1835,0.69528
9.888,0.99712,0.49786,0.60658,0.39054,1.10444
10.094,1.0534,0.34777,0.59356,0.45984,0.94133
10.3,0.95142,0.24121,0.56949,0.38193,0.8107
10.506,1.0995,0.75102,0.53684,0.56266,1.28786
10.712,1.1116,0.5363,0.54744,0.56416,1.08374
10.918,0.98822,0.37705,0.54268,0.44554,0.91973
11.124,0.92499,0.27027,0.54155,0.38344,0.81182
11.33,1.1837,0.79587,0.52742,0.65628,1.32329
11.536,1.1357,0.56507,0.53617,0.59953,1.10124
11.742,1.0456,0.3954,0.53039,0.51521,0.92579
11.948,1.2699,0.92231,0.5,0.7699,1.42231
12.154,1.1994,0.66723,0.52149,0.67791,1.18872
12.36,1.055,0.47075,0.52376,0.53124,0.99451
12.566,0.92127,0.33709,0.52715,0.39412,0.86424
12.772,1.2785,0.87143,0.51144,0.76706,1.38287
12.978,1.1256,0.61172,0.5162,0.6094,1.12792
13.184,0.98675,0.4406,0.52784,0.45891,0.96844
13.39,0.8271,0.31379,0.52693,0.30017,0.84072
13.596,0.77784,0.22679,0.52713,0.25071,0.75392
13.802,0.70264,0.16595,0.52733,0.17531,0.69328
14.008,0.66812,0.12333,0.52941,0.13871,0.65274
14.214,0.65823,0.091877,0.5267,0.13153,0.618577
14.42,0.60619,0.069208,0.52422,0.08197,0.593428
14.626,0.59033,0.052721,0.52247,0.06786,0.575191
14.832,0.57866,0.040593,0.52161,0.05705,0.562203
15.038,0.54217,0.031283,0.51708,0.02509,0.548363
15.244,0.51382,0.024183,0.51053,0.00329,0.534713
15.45,0.52208,0.018784,0.50339,0.01869,0.522174
15.656,0.49438,0.014788,0.50037,-0.00599,0.515158
15.862,0.47103,0.011757,0.5,-0.02897,0.511757
16.068,0.46973,0.0093902,0.5,-0.03027,0.5093902
16.274,0.47362,0.0075244,0.5,-0.02638,0.5075244
16.48,0.47201,0.0060458,0.5,-0.02799,0.5060458
16.686,0.46114,0.0048687,0.5,-0.03886,0.5048687
16.892,0.48545,0.0039283,0.5,-0.01455,0.5039283
17.098,0.45206,0.0031744,0.5,-0.04794,0.5031744
17.304,0.42695,0.0025685,0.5,-0.07305,0.5025685
17.51,0.42451,0.0020804,0.5,-0.07549,0.5020804
17.716,0.43879,0.0016866,0.5,-0.06121,0.5016866
17.922,0.43425,0.0013683,0.5,-0.06575,0.5013683
18.128,0.44834,0.0011107,0.5,-0.05166,0.5011107
18.334,0.45758,0.000902,0.5,-0.04242,0.500902
18.54,0.43862,0.00073284,0.5,-0.06138,0.50073284
18.746,0.45629,0.00059575,0.50018,-0.04389,0.50077575
18.952,0.46956,0.00048715,0.50314,-0.03358,0.50362715
19.158,0.51203,0.00040364,0.51275,-0.00072,0.51315364
19.364,0.77362,0.3132,0.51989,0.25373,0.83309
19.57,0.70912,0.23321,0.53603,0.17309,0.76924
19.776,0.65255,0.17775,0.5588,0.09375,0.73655
19.982,0.85111,0.13922,0.59145,0.25966,0.73067
