	log2(fc)	log10(adj. p-value)
Plin1	-1.977987	1.939195
Prob1	-1.747851	1.512044
Aldh3b2	-1.605944	1.633811
G6pc	-1.525318	1.760642
Zfp420	-1.382946	1.532833
Adrb3	-1.346085	1.95667
Gm12258	-1.337708	1.834292
Car5b	-1.331756	1.596445
Hmgcs2	-1.216751	1.771993
Glyctk	-1.164532	1.987599
Nr1d1	-1.161361	1.667489
RP24-411K2.1	-1.135063	1.323254
Fscn1	-1.005056	1.401248
Tmem140	-0.999363	4.123364
Angptl4	-0.91071	1.619256
Trdmt1	-0.909735	1.619256
Fchsd1	-0.900101	1.394931
Slc34a2	-0.885155	2.397783
Als2	-0.85676	2.048087
Mib2	-0.852173	1.724532
Rabep2	-0.679807	1.327703
Ebpl	-0.65305	2.708136
Zfp369	-0.652846	1.473367
Cebpa	-0.637579	1.810402
Phf1	-0.612915	1.506281
Slx1b	-0.605707	1.791173
Grb7	-0.603029	2.394213
Rab10os	-0.594254	1.464239
Cnn1	0.596358	2.121547
Cebpb	0.600807	1.356316
Hk2	0.604323	2.048087
Slc7a1	0.60699	1.884304
Mafk	0.628611	1.377151
Ccrn4l	0.63088	1.619256
Mphosph10	0.637408	1.702304
Filip1l	0.637541	3.497629
Pvr	0.638345	1.545057
Rhou	0.639997	2.069323
Fn1	0.642922	2.34409
Homer1	0.647105	2.232308
Pitrm1	0.650498	1.401248
Abce1	0.661045	1.904064
Plek2	0.669012	1.860199
Fam76a	0.670288	2.360234
Des	0.672814	1.868276
Id1	0.690482	2.397783
Fstl1	0.691529	1.738803
Klf2	0.691742	1.341804
Rap2b	0.699097	2.417264
Bmp7	0.701003	1.715059
Dnajc21	0.709832	3.482857
Fmo2	0.716626	2.079777
Ier2	0.716895	2.067054
Rims1	0.727433	2.57092
Dnajb4	0.729911	2.394213
Arl5b	0.738179	2.33327
Ccdc86	0.739189	1.619256
Bhlhe40	0.747701	1.543896
Kcnj8	0.767186	1.619256
Trib1	0.775159	6.551262
Per2	0.801147	1.332058
Cdyl	0.856973	1.318152
Scd2	0.871405	3.743707
Coq10b	0.889707	2.079777
Lonrf1	0.904551	2.826037
Kif4	0.94144	1.341829
Enah	0.954791	6.943772
Adamts15	0.990413	3.303696
RP24-370G18.1	1.006789	1.460978
Fam46b	1.013184	1.565151
Dusp6	1.028377	2.89819
Tppp	1.044328	2.982697
Maff	1.101974	1.983773
Dusp1	1.131506	2.287897
Pck1	1.136006	1.401248
Pde4b	1.150983	4.123364
Mrps10	1.161872	1.389595
Ereg	1.175875	5.043968
Bag2	1.182505	1.394931
Hspb1	1.200746	5.850904
Rfx2	1.226521	1.324091
Dusp5	1.228059	1.67371
Dusp8	1.257974	2.075928
Thbs1	1.29596	2.681263
Plk3	1.361611	1.887532
Slc6a17	1.372733	1.771993
Ipo7	1.378016	1.891627
Kbtbd8	1.37818	1.417455
Phlda1	1.385332	9.236359
Csrnp1	1.397056	2.074164
Tnfsf15	1.413148	2.079777
Errfi1	1.539685	9.008941
RP24-571N3.1	1.543737	1.439079
Gm16046	1.54583	1.341829
Bcl6b	1.597028	1.323254
Gem	1.615219	1.832381
Itga5	1.675033	3.118252
Serpine1	1.701187	2.287897
Arc	1.71353	1.702304
RP23-288J11.3	1.742615	3.399305
Areg	1.801875	1.791173
RP23-73N8.3	1.836161	2.389771
Hbegf	1.838994	10.23616
Ptgs2	1.855497	1.868276
Apold1	1.903132	2.017499
Adamts9	1.922265	3.390495
Hspa1b	1.928111	5.850904
Hspa1a	1.971328	4.560062
Fos	1.98167	6.905782
Egr1	1.996781	7.5303
Sik1	2.323958	6.225803
Ctgf	2.403329	2.250959
Snora20	2.443302	5.908997
Adamts1	2.488074	10.66186
Nr4a2	2.789023	12.92376
Atf3	2.790125	9.347087
Fosb	3.00224	6.500692
Nr4a3	3.754524	12.1761
Nr4a1	4.200573	9.91054
Ugcg	0.556819	3.28683
Itga6	0.389949	2.679016
Clip1	0.506499	2.57092
Pdlim3	0.528503	2.447794
Cnppd1	-0.439418	2.38243
Ssr1	0.341466	2.191562
Hmgcr	0.489435	2.186214
Klf6	0.497478	2.121547
Ndufaf4	0.502925	2.048087
Ralgapa1	0.581612	2.031364
Ccnd2	0.447663	2.005394
Ddx21	0.517777	1.987599
Stk40	0.486099	1.891627
Mgat4b	-0.404667	1.832381
Atg12	-0.458547	1.796156
Tpcn1	-0.424177	1.763675
Fam109a	-0.503423	1.619256
Ddc	-0.380888	1.619256
Syncrip	0.334699	1.619256
Set	0.42919	1.619256
Med13l	0.409026	1.569233
Ccnd1	0.53638	1.56336
Golph3l	-0.42738	1.545864
Pnpla2	-0.508114	1.513347
Fnta	-0.387549	1.512044
Anapc13	-0.331133	1.494449
Usp2	0.547792	1.475612
Rin2	-0.522353	1.440324
Stk38	-0.447362	1.432071
Nexn	0.528153	1.417455
Tagln	0.566212	1.40975
Srrm1	0.332169	1.401248
Jun	0.501808	1.401248
Bcas1	-0.398731	1.394931
Thra	-0.378058	1.371971
G3bp2	0.321791	1.371349
Lyz2	-0.492898	1.341095
Gtpbp4	0.384951	1.332058
Zfp120	-0.536509	1.330463
Flna	0.335097	1.324091
Slc6a6	0.45492	1.323254
Plekha7	0.515785	1.323254
Pcdh7	0.568419	1.323254
Acaa1b	-1.441472	1.296855
Zfp948	0.971931	1.296855
Shank2	1.223807	1.296855
Ncl	0.302083	1.292406
Cry1	0.803202	1.292406
Necap2	-0.420697	1.271482
Ybx3	0.328639	1.271482
RP23-73N8.2	1.561412	1.271446
Plau	1.328579	1.267835
RP24-432B3.4	1.366819	1.267835
