	Log2(FC)	Log10(Adj. P-value)
Adamts4	2.973046	12.23756
Nr4a1	2.920341	14.31532
Areg	2.703683	15.64609
Nr4a2	2.667949	32.85986
Adamts1	2.439375	26.22217
Hbegf	2.36902	30.99466
Fosl1	2.337089	2.859855
Egr1	2.316336	20.87492
Adamts9	2.301117	11.26529
Fosb	2.293299	4.419556
Apold1	2.258063	9.244732
Nr4a3	2.257252	8.204406
Ereg	2.204611	22.35618
Fos	2.175391	15.93642
Gem	2.010162	6.790572
Ch25h	2.007395	1.453377
Arl4d	1.98771	1.940866
Sik1	1.88084	9.358724
Il1b	1.812483	3.235596
Ptgs2	1.801245	3.46027
Gm12408	1.793134	1.307425
Phlda2	1.751081	3.171026
Plk3	1.670899	9.681668
Snord65	1.60685	1.537976
Cyr61	1.601531	3.46027
Nfil3	1.600118	4.518864
Atf3	1.59842	6.765008
Phlda1	1.538415	20.64907
Epha2	1.536413	1.954552
Zdbf2	1.534455	2.862636
Dusp1	1.482945	8.620639
Gdf15	1.470999	3.553631
Plaur	1.443817	3.309653
Tgif2	1.442741	2.014222
Hspa1a	1.352411	2.584325
Pde10a	1.351585	1.931431
Kcne4	1.33142	7.964133
Cebpd	1.316991	7.764803
Tnfrsf12a	1.312448	3.150893
Plau	1.291	2.847904
Sgk1	1.290036	6.413742
Tnfaip6	1.288649	1.795961
Hcar2	1.235083	1.387931
Klf2	1.220657	9.439665
RP23-73N8.3	1.213479	1.949551
C2cd4b	1.209369	5.669952
Alas1	1.201406	4.422687
Dusp6	1.192815	4.646756
RP23-328J8.2	1.171428	2.081944
Cebpb	1.164772	9.358724
Pde4b	1.158647	8.350321
Atp12a	1.138785	2.044588
Mchr1	1.086493	2.676833
Jdp2	1.062499	3.268906
Gm13889	1.040022	8.945636
Runx3	1.027936	1.953853
Errfi1	1.02705	7.772574
Btg2	1.006952	13.82168
Cry1	1.006555	4.088724
Ier3	0.948077	8.941112
F2r	0.931224	1.628172
Midn	0.904832	3.630461
Spry1	0.903743	1.510975
Tiparp	0.881066	3.46027
Zfp36l2	0.867764	2.876412
Trib1	0.864618	10.96422
Zfp36	0.859532	5.105143
Gadd45b	0.853777	2.328097
Fhdc1	0.846785	3.685135
Zfp51	0.83699	1.659502
Nkx2-3	0.827773	6.73248
Crem	0.82155	2.908257
Bcl3	0.821343	2.908705
Trmt10c	0.818103	1.779719
Rara	0.790542	1.454736
Junb	0.782569	3.553411
Rorc	0.782128	2.188431
Tmem119	0.760143	3.496941
RP24-273P12.4	0.7547	3.547447
Arid3a	0.751327	1.352037
Kcnj8	0.74832	1.950943
Klf10	0.739159	1.950943
Hlx	0.737193	2.104676
Phf13	0.735673	3.289158
Slc45a3	0.732795	1.459935
Dnajb4	0.732692	4.542815
Fam43a	0.728292	2.303216
Zfp36l1	0.723777	5.607758
Bcorl1	0.717822	3.201971
Spsb1	0.715271	2.368949
Zdhhc13	0.7131	3.086655
Bhlhe40	0.706359	2.012297
Plk2	0.704169	1.704271
1810011O10Rik	0.699343	1.323113
Ccdc71l	0.697611	1.690856
Tob1	0.684591	2.601547
Slc25a25	0.684002	2.262961
Usp2	0.680668	3.547447
Emd	0.677212	5.136148
Mir22hg	0.676525	2.910332
Hic2	0.659188	1.557434
Zfp597	0.652004	1.92894
Bmp2	0.634732	3.562247
Pex13	0.631223	1.80187
Tnfaip2	0.629422	1.537976
Podn	0.621754	2.014222
Kctd5	0.621418	2.008066
Mid1ip1	0.615243	2.142574
Lonrf1	0.613019	2.676833
Gucy1b3	0.608003	1.639736
Gtf2h1	0.607972	1.980711
Sowahb	0.597819	2.444696
Mrc1	0.59711	1.664394
Fbxo34	0.596104	1.387931
Trim36	0.590941	1.865884
Zfp942	-0.585417	1.493242
Aurka	-0.592181	1.438591
Zfp120	-0.59905	2.428685
2610015P09Rik	-0.599137	1.412575
Npy4r	-0.601907	1.392956
Chchd5	-0.602641	2.334
Efna1	-0.604442	1.371333
Tmem140	-0.617403	1.514272
Cep152	-0.627329	1.341116
Telo2	-0.633118	1.7136
Zfp820	-0.634155	1.775059
Hdac11	-0.643047	1.537976
Cdca8	-0.646994	2.341616
Cyb561d1	-0.654623	1.811982
Mpp3	-0.655772	1.370395
2610008E11Rik	-0.660757	1.440804
Cnksr3	-0.665927	1.775059
Zfp784	-0.671636	1.779697
Galnt15	-0.68316	1.683841
Arhgap20	-0.68435	2.527106
Pik3ip1	-0.705006	3.553631
Gm26814	-0.710159	1.387931
Hmces	-0.71627	3.171026
Kctd18	-0.728903	1.441954
Nupr1	-0.74154	2.847782
Gm13648	-0.747419	3.553631
Zfp719	-0.748801	2.146403
Nrgn	-0.76592	1.365979
Dclk2	-0.793779	1.323113
1110035H17Rik	-0.794355	1.624605
Tbc1d9	-0.799707	1.950943
Gm28151	-0.801829	1.654633
Dus3l	-0.810275	3.53188
Lrrc31	-0.824771	1.931431
Acrbp	-0.840436	2.860804
9130017K11Rik	-0.84326	4.153972
Cldn8	-0.869411	1.551052
Rprm	-0.873582	2.159103
AI480526	-0.888553	5.546301
8430408G22Rik	-0.891148	1.4151
Zfp157	-0.916993	1.612756
Ccdc116	-0.922128	2.928021
Cyp2d34	-0.969445	2.241345
