	Log2(FC)	Log10(Adj. P-value)
RP23-407E2.31	3.481758	1.890973
Rnu12	2.734735	7.682581
Adamts4	2.321429	1.683409
Rmrp	2.187757	2.804543
Gm24407	2.148679	3.426865
Gm25360	1.971067	3.252854
Gm24265	1.913149	3.885636
Rnu11	1.894679	5.999506
Gm22513	1.861535	4.179527
Hist1h4d	1.854279	3.564792
Hist1h2bj	1.811758	2.574337
Gm22973	1.714583	1.471098
Gm25939	1.661572	1.879648
Gm26917	1.569438	5.91094
Adamts9	1.513735	3.48186
Vaultrc5	1.479672	1.952133
Apold1	1.413994	1.513767
Nfil3	1.40297	3.252854
Rgs1	1.380791	3.097451
Snord104	1.282743	7.682581
Snord55	1.28099	3.057269
9330159F19Rik	1.220201	1.315074
Rnu3a	1.208924	3.235465
Fzd9	1.207258	2.349378
Hist2h2bb	1.200422	1.330239
Rgs6	1.200142	1.660084
Adamts1	1.192389	3.442118
Hist1h4h	1.176418	2.125071
Doc2b	1.173134	1.312481
Snord13	1.111468	4.755203
Trbc1	1.088542	1.311694
Hnf4aos	1.057538	1.771642
Scube2	1.013831	1.473489
Gm25822	1.011799	2.422247
Cebpd	0.943168	2.640541
Fam43a	0.937054	1.48102
Ddit4	0.881287	3.019019
Cd74	0.838877	1.361304
Snord89	0.8265	2.028341
Mt2	0.808576	2.11521
Gm10138	0.804926	1.385393
Klf2	0.78421	2.771535
Mt1	0.777924	4.179527
Smim3	0.777684	2.329925
Dclre1b	0.774624	1.483793
Fhdc1	0.772349	1.724732
Tmem37	0.749515	1.897283
Errfi1	0.73276	1.897283
Jdp2	0.722754	1.750308
Mapt	0.712737	1.729461
Ms4a6b	0.708007	2.744977
Trnp1	0.686507	2.028341
Gm2000	0.679155	1.724732
Cebpb	0.657055	1.890973
Gtf3a	0.633429	1.321764
H2afz	0.598548	1.982289
Tmem80	-0.584153	1.982928
Mettl7b	-0.585734	1.700233
Kifc3	-0.6041	2.349378
Fam46a	-0.605165	4.179527
Prss23	-0.605461	1.700233
C530008M17Rik	-0.606939	2.674312
Slc6a20a	-0.607579	3.252854
Slc9a2	-0.613169	1.356473
Aoc1	-0.614869	1.852709
Max	-0.615046	1.327611
Fbxo25	-0.615432	2.676555
Tmem117	-0.621474	1.668165
Lasp1	-0.627507	1.72861
Gyk	-0.628501	2.205097
Sepp1	-0.633684	2.066354
Irak2	-0.633955	1.700233
Adprm	-0.639226	1.845188
Ceacam20	-0.658012	2.98134
St3gal4	-0.671407	1.474424
Neat1	-0.674671	7.337929
Cyp4f16	-0.681547	2.329925
Cubn	-0.709035	1.982289
Mfsd9	-0.72539	1.890973
2010002M12Rik	-0.731637	1.897283
Lrrc19	-0.731666	2.422247
Gprin3	-0.772619	1.890973
Akr1c14	-0.785289	1.526477
C330018D20Rik	-0.788985	1.463424
Gm684	-0.801826	1.471035
Erlin1	-0.822986	1.982289
Neu1	-0.85129	3.148003
Tmem144	-0.86799	2.531395
Enc1	-0.900356	1.982289
Scin	-0.90458	2.771535
Serinc5	-0.915827	1.505887
Als2	-0.976661	3.440655
Txlng	-1.072688	2.221746
4930539E08Rik	-1.077659	4.20585
Trdmt1	-1.084893	1.587184
Slc34a2	-1.085771	2.200929
Depdc7	-1.088638	2.898364
Hbegf	-1.094233	4.273502
Zfand2a	-1.112451	1.311694
Cpn1	-1.11855	1.802793
Slc25a34	-1.127021	1.724732
Gm20706	-1.175025	4.700738
Dbp	-1.262398	8.79362
Nr1d1	-1.341966	2.422247
Socs3	-1.361639	1.630843
Tmem88b	-1.444109	1.321764
9130019P16Rik	-1.479723	1.347282
1700057G04Rik	-1.508021	1.341087
Ttll6	-2.109687	1.733586
Sprr2a3	-3.805406	1.982289
Cds1	-0.506999	3.124696
Clic5	-0.550654	3.057269
Gls	-0.52335	2.98134
Dusp12	-0.580751	2.549386
Slc5a8	-0.562939	2.476616
Shroom3	-0.452905	2.476616
Lima1	-0.522933	2.428447
Stard4	-0.46677	2.428447
0610005C13Rik	-0.564823	2.415757
Ank3	-0.486635	2.315869
C1qa	0.57856	2.221746
Lurap1l	-0.522057	2.176903
Rab6a	-0.349888	2.066354
Mkrn1	-0.38215	2.042877
Per3	-0.474505	2.0292
Anxa7	-0.483325	2.028341
F2rl1	-0.536189	1.982289
Picalm	-0.457974	1.982289
Atg12	-0.487935	1.897283
Mgat4c	-0.431299	1.897283
Hnrnpd	0.325929	1.897283
Ppp1r12c	0.488108	1.897283
Hsd3b3	-0.571367	1.890973
Gna13	0.335833	1.890973
Stox2	0.572005	1.890973
Cdc37	0.407986	1.845188
Wipf2	-0.309299	1.726191
Ddc	-0.426655	1.724732
Kank1	-0.495114	1.700233
Muc13	-0.513828	1.692974
Tes	-0.344593	1.544446
Rpl7	0.338148	1.544446
Slc25a51	-0.387664	1.543335
Mcl1	-0.391791	1.530763
Prr13	-0.375856	1.530763
Grb7	-0.447104	1.516829
Abcg2	-0.472239	1.479799
Gm3336	-0.539244	1.473489
Slc44a1	-0.316035	1.471098
Tubb5	0.424013	1.458625
Bclaf1	0.263548	1.445304
Cdh1	-0.402404	1.411121
Sgms2	-0.414475	1.401144
Cxadr	-0.429237	1.349122
Sec23a	-0.426901	1.349122
Acy1	0.466617	1.349122
Lcor	-0.433525	1.345074
Aspa	-0.482325	1.321764
Psmd7	0.325773	1.31986
Ocln	-0.385691	1.315074
Acss2	0.453852	1.314198
Galm	-0.418687	1.312481
Haus2	-0.524041	1.311694
Gfpt1	-0.456687	1.30988
Ggps1	0.410091	1.30988
Runx3	0.759086	1.296981
Pspc1	-0.610475	1.289063
Eprs	0.31416	1.289063
Gimap4	0.775924	1.282802
Gpt	0.523118	1.282521
Baiap2	0.818269	1.276711
Lrig3	0.355457	1.272744
Tsc22d3	0.55495	1.27137
Snora21	-1.157301	1.254424
Ryk	-0.545355	1.254424
B4galt4	-0.463541	1.254424
Maf	-0.436703	1.254424
Stx3	-0.409526	1.254424
Rps5	0.342658	1.254424
Fmo2	0.447667	1.254424
Cd52	0.55957	1.254424
Rnf103	-0.57698	1.253322
Abcb1a	-0.575212	1.232189
Trim12c	-0.611764	1.228401
Atp2b1	-0.478298	1.228401
Acvr2a	-0.364253	1.228401
Snord118	0.660552	1.228401
Cyp2r1	-2.793358	1.227309
Edn2	-0.996889	1.227309
Vamp1	-0.604073	1.224089
Kcnn4	0.52298	1.224089
Slc2a5	-0.587762	1.219927
Slc1a4	0.601069	1.207183
Mgam	-0.362385	1.205233
Rps20	0.371287	1.205233
Acta2	0.365079	1.20363
Cstb	-0.638341	1.202139
Pura	-0.249342	1.186896
Il34	0.700409	1.182039
Gadd45b	0.647833	1.164753
Hist3h2a	-0.522548	1.157628
Cyp2c55	-1.172849	1.157387
Fam110b	-0.859496	1.157387
Nsun3	-0.688115	1.157387
Naip5	-0.455902	1.157387
6-Mar	-0.454833	1.157387
Brpf3	-0.448012	1.157387
Ckb	0.410182	1.157387
Mrpl28	0.482324	1.157387
Ncapg2	0.633609	1.157387
H2-Eb1	0.653705	1.157387
Chchd6	0.824564	1.157387
Hist2h4	1.361499	1.157387
Hist1h2bf	3.205458	1.157387
Dnah17	-3.191777	1.147241
Atp6v1b2	-0.420094	1.139776
Nbr1	-0.40101	1.139776
Hsdl2	-0.487066	1.133996
Entpd5	-0.409966	1.133996
Hnrnph3	-0.636114	1.133405
Fkbp5	0.680446	1.133405
Slc7a9	-0.374293	1.132627
BE692007	1.204328	1.132627
Bcar1	-0.858633	1.131441
Krba1	-0.73735	1.131441
Tns4	-0.699457	1.130925
Naip6	-0.515264	1.130423
Itm2b	-0.311965	1.129013
Rpl8	0.338456	1.129013
Prmt1	0.522816	1.129013
Myo7b	-0.434473	1.126336
Gm24305	1.699165	1.126336
