	Log2(FC)	Log10(Adj. P-value)
Sval1	3.286911	1.758326
Rnu3b1	3.044227	2.326887
Defa26	2.972344	1.44562
Nr4a1	2.862819	10.65248
Adamts4	2.315497	9.142571
Ang4	2.304503	2.74109
Mptx1	2.297423	1.575639
Gm29560	2.176004	2.423985
Zdbf2	2.012804	2.314839
Nfil3	1.921389	10.65248
Adamts9	1.902205	9.767362
Tnfrsf12a	1.798013	3.685713
Egr1	1.731017	9.142571
Nr4a2	1.711707	9.63215
1700030J22Rik	1.622	1.871577
Rwdd2a	1.605113	1.655236
Klf2	1.560919	16.35102
Apold1	1.549254	3.570699
Nudt10	1.433465	2.285914
Areg	1.405564	2.571074
Dusp1	1.387582	6.462072
Gm24407	1.37263	1.573368
Atp12a	1.359826	2.658993
Rnu12	1.343455	1.706874
Adamts1	1.296236	5.4025
Gem	1.294942	1.363575
Dusp6	1.265388	4.566034
Sgtb	1.26067	1.763416
Pvt1	1.252753	1.804868
Gadd45g	1.216873	5.730365
Fam227a	1.198044	2.581452
Kcne4	1.180861	4.733564
Gadd45b	1.176778	8.35348
Phlda2	1.171346	1.325815
Gm24265	1.163888	1.546257
Ereg	1.159049	3.982739
Phlda1	1.151175	9.727829
Angptl4	1.079448	2.150621
Tsc22d3	1.064876	7.299952
Adm	1.058944	1.658966
RP23-73N8.3	1.040652	1.414788
Fam83d	1.039949	2.604714
C2cd4b	1.037436	2.680005
Fpgs	1.015286	1.636896
Tmem252	0.981099	2.680005
E2f2	0.943375	4.563801
Cebpd	0.940707	2.968056
Plk3	0.927392	2.007443
Slco4a1	0.925169	1.308393
Atf3	0.923076	1.352894
Csrnp1	0.92235	1.552666
Cebpb	0.919017	5.08257
Krt23	0.890682	2.581452
Irs2	0.874965	3.15858
Tmem37	0.864001	2.470374
Rsad2	0.851914	2.175145
43533	0.848707	1.619074
Btg2	0.842804	8.474924
Reep4	0.84214	3.317948
Sgk1	0.796128	1.739807
Dusp8	0.793863	1.552666
Chn1	0.793457	1.490865
Zfp7	0.793128	2.545427
Ddit4	0.782969	2.464899
Pde4b	0.782646	3.510945
S100a14	0.759266	2.160834
Bbc3	0.743205	1.84142
D030056L22Rik	0.739018	1.552666
Tmprss2	0.732414	2.326887
Clp1	0.731035	1.575639
Hic2	0.723183	1.480754
Tob2	0.7213	2.667309
Tmem119	0.716545	2.573948
Tmem100	0.696635	1.791814
Hbegf	0.694887	1.564354
Tiparp	0.678156	1.714203
Ephb3	0.661047	2.147089
Junb	0.658506	1.946507
Nrarp	0.653168	1.382246
Emd	0.65087	3.626322
Nt5dc3	0.643778	1.352894
Ier5	0.622507	1.796367
Spsb1	0.622105	1.791814
Traf4	0.615381	1.791173
