Time	5_29_2019estimatedspikedata_sspf2_14_track70	5_29_2019estimatedspikedata_spf2_14_track54	5_29_2019estimatedspikedata_spf2_14_track35	5_29_2019estimatedspikedata_spf2_14_track22_cell_next_to_35	5_29_2019estimatedspikedata_spf2_14_track13	5_29_2019estimatedspikedata_spf2_13_track61	5_29_2019estimatedspikedata_spf2_13_track52	5_29_2019estimatedspikedata_spf2_13_track50	5_29_2019estimatedspikedata_spf2_13_track13	5_29_2019estimatedspikedata_spf2_13_track8	5_29_2019estimatedspikedata_spf2_12_track62	5_29_2019estimatedspikedata_spf2_12_track54	5_29_2019estimatedspikedata_spf2_12_track50	5_29_2019estimatedspikedata_spf2_12_track36	5_29_2019estimatedspikedata_spf2_12_track32_1832	5_29_2019estimatedspikedata_spf2_12_track17	5_29_2019estimatedspikedata_spf2_12_track8	5_29_2019estimatedspikedata_spf2_12_track7_next_to_6	5_29_2019estimatedspikedata_spf2_12_track6	5_29_2019estimatedspikedata_spf2_9_track95	5_29_2019estimatedspikedata_spf2_9_track86	5_29_2019estimatedspikedata_spf2_9_track72	5_29_2019estimatedspikedata_spf2_9_track67	5_29_2019estimatedspikedata_spf2_9_track45	5_29_2019estimatedspikedata_spf2_9_track33	5_29_2019estimatedspikedata_spf2_9_track22	5_29_2019estimatedspikedata_spf2_9_track6_1507_2005_3764	5_29_2019estimatedspikedata_spf2_8again_track60_388_952_1214_1627	5_29_2019estimatedspikedata_spf2_8again_track47	5_29_2019estimatedspikedata_spf2_8again_track45_same_as2_832	5_29_2019estimatedspikedata_spf2_8again_track12_856_958_1159	5_29_2019estimatedspikedata_spf2_8again_track10	5_29_2019estimatedspikedata_spf2_6_track86	5_29_2019estimatedspikedata_spf2_6_track79	5_29_2019estimatedspikedata_spf2_6_track67	5_29_2019estimatedspikedata_spf2_6_track63	5_29_2019estimatedspikedata_spf2_6_track50	5_29_2019estimatedspikedata_spf2_6_track44	5_29_2019estimatedspikedata_spf2_6_track41	5_29_2019estimatedspikedata_spf2_6_track37	5_29_2019estimatedspikedata_spf2_6_track30	5_29_2019estimatedspikedata_spf2_6_track20	5_29_2019estimatedspikedata_spf2_6_track19	5_29_2019estimatedspikedata_spf2_6_track6	5_29_2019estimatedspikedata_spf2_4_track106	5_29_2019estimatedspikedata_spf2_4_track98_1453	5_29_2019estimatedspikedata_spf2_4_track96	5_29_2019estimatedspikedata_spf2_4_track88	5_29_2019estimatedspikedata_spf2_4_track84_1341	5_29_2019estimatedspikedata_spf2_4_track83	5_29_2019estimatedspikedata_spf2_4_track79	5_29_2019estimatedspikedata_spf2_4_track74	5_29_2019estimatedspikedata_spf2_4_track67	5_29_2019estimatedspikedata_spf2_4_track61
0	0.068274	0.087078	1.0687	0.0098877	0.27382	0.12891	0.30845	0.090185	0	0.097198	-5.96E-08	0.14959	0.7103	-5.96E-08	0.30845	0.1555	0.35878	0.093825	0.32184	0.047307	0.32846	5.96E-08	0.030419	0.057611	0.11294	0.0098877	0.076529	0.11067	0.082017	0.0061548	-5.96E-08	0.073584	0.17895	0.17323	5.96E-08	0.211	0	0.02321	0.11067	0.1175	5.96E-08	0.18864	0.34237	0.19982	0.53081	0	0.33508	0.13115	0.071829	0.098885	5.96E-08	0.71067	0.026672	0.078805
0.206	0.050095	0.062969	0.71811	0.0077267	0.47792	0.091095	0.21241	0.064518	5.96E-08	0.070411	-5.96E-08	0.106	0.47763	5.96E-08	0.21236	0.10998	0.24384	0.067958	0.22125	0.03519	0.50514	0	0.022635	0.18867	0.26371	0.3469	0.054751	0.079095	0.059195	0.0048369	0	0.052991	0.12795	0.12242	-5.96E-08	0.14776	5.96E-08	0.01761	0.25897	0.2741	0	0.13267	0.2371	0.14003	0.73784	0	0.23052	0.093486	0.052601	0.071508	-5.96E-08	0.47841	0.020259	0.18605
0.412	0.03721	0.046149	0.4883	0.0060783	0.32655	0.06527	0.14743	0.04672	0	0.051647	0	0.076061	0.32367	0.000000119	0.14799	0.078718	0.16702	0.21942	0.15432	0.026558	0.3428	0	0.01711	0.69659	0.43249	0.24173	0.039785	0.057189	0.043309	0.003841	0	0.038634	0.092848	0.08754	0	0.10461	0	0.013513	0.17869	0.18905	5.96E-08	0.094476	0.16633	0.099144	0.50327	0	0.1604	0.067525	0.038826	0.05238	0.065215	0.32601	0.015528	0.31391
0.618	0.027897	0.034141	0.33413	0.0048046	0.22541	0.18832	0.10324	0.03425	5.96E-08	0.038503	-5.96E-08	0.21857	0.22105	0.000000119	0.10379	0.057021	0.11577	0.15412	0.10921	0.020216	0.23684	0	0.013066	0.8647	0.29449	0.16996	0.029245	0.041819	0.03213	0.0030614	0	0.028495	0.068057	0.063478	0.098846	0.07539	0	0.010489	0.12471	0.13219	5.96E-08	0.068234	0.11748	0.071304	0.71565	0	0.11326	0.049555	0.028986	0.038855	0.40523	0.53578	0.012017	0.4476
0.824	0.021063	0.025527	0.23033	0.0038227	0.15799	0.13136	0.22746	0.02532	0	0.45219	0	0.15306	0.36344	5.96E-08	0.073799	0.19387	0.081532	0.10908	0.0781	0.015502	0.41253	0.25305	0.2725	0.99237	0.20348	0.12113	0.021741	0.031029	0.0241	0.20833	-5.96E-08	0.021232	0.050467	0.046657	0.071647	0.055252	0	0.0081798	0.088155	0.094304	0	0.049537	0.084204	0.051832	0.91319	0.31536	0.080715	0.036825	0.021939	0.029031	0.27882	0.36569	0.0093575	0.58713
1.03	0.016051	0.01928	0.16073	0.10254	0.11201	0.092627	0.15639	0.018798	5.96E-08	0.65288	0	0.10875	0.24564	0	0.052863	0.13592	0.058042	0.078067	0.056359	0.011984	0.59283	0.41923	0.42015	0.65057	0.14212	0.086661	0.016184	0.023308	0.018277	0.14727	0	0.015996	0.037808	0.034742	0.052763	0.040839	0	0.0064038	0.063308	0.067747	5.96E-08	0.03632	0.25375	0.037938	0.61254	0.22005	0.057964	0.027623	0.016737	0.022073	0.19335	0.5782	0.0073138	0.7266
1.236	0.012328	0.014634	0.11377	0.2684	0.28811	0.22246	0.10894	0.014042	0.25922	0.43934	0	0.07726	0.72522	5.96E-08	0.038435	0.096736	0.041782	0.056422	0.041136	0.0093205	0.40064	0.28849	0.28585	0.43838	0.10022	0.062638	0.012308	0.017785	0.013908	0.10416	5.96E-08	0.01222	0.028612	0.026153	0.039103	0.17867	0	0.0050462	0.046022	0.049273	0.077912	0.026926	0.17768	0.028308	0.41475	0.15523	0.042128	0.020824	0.14017	0.14956	0.33791	0.39529	0.0057537	0.84482
1.442	0.0095181	0.011176	0.081398	0.18801	0.49335	0.1534	0.076709	0.010622	0.18005	0.30132	-5.96E-08	0.055637	0.83155	0	0.028279	0.069616	0.030622	0.041265	0.030415	0.0073045	0.27539	0.20273	0.19681	0.3	0.24343	0.045922	0.0093737	0.1224	0.010754	0.073771	5.96E-08	0.0094348	0.021818	0.15557	0.029184	0.1261	0	0.0039909	0.033888	0.036303	0.057136	0.020162	0.12503	0.021373	0.28523	0.11125	0.031076	0.015824	0.10037	0.10693	0.48527	0.60844	0.004555	0.93163
1.648	0.0073923	0.0085795	0.058811	0.13374	0.33709	0.10798	0.054709	0.008129	0.12675	0.20757	0	0.040371	0.5546	5.96E-08	0.020942	0.050612	0.02283	0.03053	0.022763	0.0057689	0.18987	0.14313	0.13633	0.20721	0.41221	0.46688	0.0073436	0.2768	0.008327	0.05297	-5.96E-08	0.0073023	0.016734	0.10968	0.02214	0.089824	0	0.0031675	0.025259	0.027007	0.042348	0.015211	0.088703	0.01633	0.19856	0.28895	0.023158	0.13292	0.072894	0.077403	0.62509	0.82581	0.0036471	0.98132
1.854	0.0057967	0.0066612	0.042945	0.095924	0.23329	0.076543	0.039552	0.0062931	0.090613	0.14537	0	0.029585	0.37574	0	0.015676	0.037267	0.017321	0.022799	0.017304	0.0046002	0.13197	0.30389	0.095203	0.14393	0.58337	0.31743	0.22348	0.19142	0.006508	0.038556	0	0.0057204	0.012931	0.078226	0.016884	0.064576	0	0.0025228	0.019113	0.020434	0.031838	0.011615	0.25715	0.012609	0.13909	0.50496	0.017412	0.094767	0.05319	0.056379	0.42274	0.56166	0.00293	1.0332
