Genotype	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	Chat	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH	TH
Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum	Post1	Post5	Post9	Pre1	Cecum
ID	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	4	4	4	4	5	5	5	5	5	6	6	6	6	6	7	7	7	7	7	8	8	8	8	8	9	9	9	9	9	10	10	10	10	10	11	11	11	11	11	12	12	12	12	12	13	13	13	13	13	14	14	14	14	14	15	15	15	15	15	16	16	16	16	16	17	17	17	17	17	18	18	18	18	18	19	19	19	19	19	20	20	20	20	20	21	21	21	21	21	22	22	22	22	22	23	23	23	23	23	24	24	24	24	25	25	25	25	25	26	26	26	26	26	27	27	27	27	27	28	28	28	28	28	29	29	29	29	29	30	30	30	30	30	31	31	31	31	31	32	32	32	32	32	33	33	33	33	33	34	34	34	34	34	35	35	35	35	36	36	36	36	36	37	37	37	37	37	38	38	38	38	39	39	39	39	39	40	40	40	40	40	41	41	41	41	41	42	42	42	42	42	43	43	43	43	43	44	44	44	44	44	45	45	45	45	45	46	46	46	46	46	47	47	47	47	47	48	48	48	48	48	49	49	49	49	49	50	50	50	50	50	51	51	51	51	51
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	4	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	10716	6426	6585	4873	2388	624	690	1188	1275	300	69	60	61	1615	64	173	740	240	2122	40	1276	91	359	1418	103	328	245	71	644	109	25	121	39	1130	138	12	48	97	1258	31	3120	3700	10142	6014	469	114	120	797	5539	1482	451	355	63	2020	82	537	545	257	1349	689	74	5	35	1964	76	233	106	96	1266	98	366	4015	5201	6090	838	525	80	484	2536	214	2228	620	3255	1627	738	271	375	1360	1342	313	924	878	0	398	1540	2301	9132	3228	5965	661	523	7758	6988	6199	462	817	4012	3577	2103	245	1309	2113	10876	2086	430	1397	744	562	602	77	82	37	299	44	510	4276	504	485	743	1406	1165	5511	394	1077	2307	1611	673	5302	171	215	21929	475	745	489	3690	7671	72	2419	5	5913	1301	1216	445	113	1598	891	65	3184	212	20	381	155	251	140	1777	4542	1085	1348	612	50	2	1099	28	488	770	70	1434	37	1095	372	1003	1149	139	8683	2833	3831	3878	12971	300	2287	8893	237	482	3734	4162	963	530	3125	2959	6109	3074	338	141	112	49	660	301	4325	1380	2186	935	210	290	1629	364	315	61	405	4273	735	304	21	1817	2050	2644	1048	383	1151	3658	154	1486	181	764	706	1627	517	90	361	237	47	494	78	2717	426	423	7942	345	256	1416	718	1076	46
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	1537	620	532	473	1004	1299	1986	1415	940	2145	3858	4547	5124	3577	1819	890	4184	1075	1685	1148	3197	707	2288	1377	2109	834	611	1410	644	1639	215	897	981	2317	877	987	3020	1534	2452	1712	1204	1015	1156	1466	736	743	1556	1599	1953	1846	3401	2651	1000	2835	565	1328	823	2033	1622	1688	2917	359	4453	1267	1981	2571	2317	1287	2963	3293	1277	2607	1826	2879	2885	520	476	1606	3217	949	707	1043	1306	1125	2333	889	1960	1004	1861	3201	528	2770	0	1551	3256	1276	1339	823	1748	648	2897	3884	2048	1328	1285	2017	2716	1563	571	2411	2347	3093	2693	2051	1537	2681	2079	1506	1901	1209	2213	1482	750	2224	730	2948	1220	1033	2188	2343	1762	1267	1060	1210	351	2631	1804	5154	445	281	1072	337	1094	763	1086	5881	1592	1681	103	1887	2114	4363	1732	187	6467	3262	577	3632	3509	285	4075	2052	2759	2005	4858	4951	3440	2440	1966	2736	309	1514	1290	2553	4064	2103	3463	1611	3733	2219	9027	2317	1400	1732	916	990	610	3568	3347	2400	3251	688	760	614	736	423	391	1580	1070	677	1327	463	590	1523	945	241	522	1817	3702	1032	1277	1071	1720	1886	1220	2054	506	311	2257	1086	307	142	1527	1379	2156	1093	1031	749	2260	679	2379	961	1482	4000	1375	737	938	1031	534	270	1155	820	930	2624	2272	1456	907	492	827	958	344	198
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	61462	62513	48367	82086	61945	43496	47696	117731	175745	96591	102730	95556	119756	125979	34620	51364	78986	120534	132290	51436	227830	20093	147303	188902	68070	48809	20577	154174	113870	114148	11588	84214	57447	83032	62513	16999	44509	150569	77232	29628	151368	77233	86210	85717	50642	64863	152183	107605	245010	44076	119924	60575	47779	105581	18442	74996	35624	95362	128779	48105	46800	9929	83958	101252	33020	64104	33022	37266	66129	44613	26266	124764	99209	101922	66037	29045	13665	36869	124736	4284	158651	50326	170585	100263	81046	41198	99761	94722	79832	48074	71810	151528	5	132622	85150	56630	286351	93559	154069	47003	81621	213166	286013	160972	31343	64030	132101	58092	39729	76552	100797	94503	133584	52930	63927	60432	75053	86920	46950	38690	66382	51819	94143	37425	13059	106968	41857	62743	27357	85056	45095	164533	51099	18467	5636	63232	64763	40086	52673	20651	55307	41798	55964	54712	27024	82880	89904	32665	6996	126868	55900	111412	72202	5771	131473	114278	28870	157368	168314	25398	65783	46941	85269	80749	161994	109452	79528	112264	55001	126127	68537	249312	71638	63799	99452	77188	156676	68230	85241	75040	156891	77620	54649	148373	68290	39146	47914	92589	203870	132938	125195	37952	33138	159197	190844	22972	76550	67655	17570	105716	35700	45624	58953	166740	131953	37594	83702	67983	74654	29200	76591	64401	131235	179981	154520	132189	100737	23396	109186	124407	15704	14510	103124	56452	159010	97286	87846	93934	291371	108527	83966	187359	75915	75853	86824	48553	120424	71303	32448	11362	62487	97957	31191	34720	68204	51989	69463	23896	151193	88746	24447	64456
k__Bacteria;p__Bacteroidetes;c__Cytophagia	11	4	10	0	0	5	0	9	14	10	5	0	10	14	0	0	4	5	13	0	27	0	4	15	13	5	0	10	14	1	1	5	0	15	5	5	5	21	10	0	0	22	19	0	4	5	0	0	17	1	9	19	5	2	0	5	0	0	5	5	9	5	8	45	5	5	5	1	0	14	0	1	5	5	11	0	0	0	8	5	4	5	9	6	0	0	5	1	0	14	16	4	0	0	4	0	14	4	5	0	0	10	28	22	15	32	5	5	4	0	0	5	17	6	14	5	0	0	5	0	14	0	1	4	0	10	4	0	0	0	5	9	9	6	5	0	10	18	0	0	14	5	5	0	0	109	5	0	5	9	5	6	5	0	11	8	0	30	4	0	0	1	1	10	19	30	5	16	6	0	0	24	0	1	5	0	10	0	9	0	6	5	0	16	22	14	5	0	0	1	23	5	0	4	9	0	5	5	0	30	5	0	0	35	18	0	0	10	0	0	17	5	8	5	5	9	5	2	19	0	0	0	5	0	10	4	0	5	0	9	0	0	0	10	10	0	9	0	0	0	0	1	5	5	0	1	5	0	32	10	0	5
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	38	6	10	36	10	10	5	33	10	5	24	6	11	17	10	15	25	16	36	5	61	0	55	47	10	5	0	15	49	5	10	15	10	22	5	0	0	25	0	0	52	10	19	19	6	0	15	5	56	0	19	19	15	38	1	0	0	8	36	15	0	0	5	29	4	21	1	17	11	12	5	20	20	21	18	0	5	5	20	0	10	0	15	42	14	0	35	13	10	16	0	25	0	10	5	6	59	6	22	5	19	48	40	105	0	26	36	16	11	10	26	5	15	5	5	5	15	24	0	5	5	0	25	14	0	18	8	4	0	25	10	64	0	5	5	5	30	10	0	6	26	30	310	0	10	21	5	0	0	10	28	24	9	1	19	4	0	5	19	0	9	6	11	20	20	40	10	15	16	0	0	39	0	15	23	5	40	14	15	29	67	98	5	29	10	10	5	6	5	5	20	0	5	21	24	0	10	6	0	6	0	0	5	35	10	5	52	15	0	0	25	1	10	0	0	20	0	0	10	5	5	0	15	0	25	23	10	10	9	0	9	5	10	29	0	5	0	15	0	5	19	5	0	0	6	14	5	0	0	15	5	5
