Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum
Archaea	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	90010	125045	87157	71474	98469	135479	127288	64979	80970	88534	29966	102736	95084	112825	157747	36899	106740	170096	171154	92606	52009	139721	110365	102987	103021	88989	77145
BacteriaPlasmid	2	3	0	1	0	2	5	2	0	6	0	1	0	0	13	0	1	0	10	0	1	2	5	0	2	0	1
Viruses	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|	1	3	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	5	0	0	0
Bacteria|Actinobacteria	701	521	395	248	467	378	217	366	246	699	125	505	441	721	773	238	643	736	1002	277	367	559	421	529	477	612	475
Bacteria|Bacteroidetes	13342	20745	7402	10886	14621	24470	13490	6368	10946	9471	3973	10318	7030	9520	14131	883	17404	10295	18242	10088	6745	16138	13732	10077	8053	5821	3909
Bacteria|Calditrichaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Deferribacteres	4665	3842	6734	2012	4723	28	12156	4114	7963	4809	692	5185	604	180	6506	80	1708	2337	12655	6853	4022	6662	3802	4936	1645	589	862
Bacteria|Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	35884	81999	38522	57562	55047	106991	61831	52188	58276	62293	24111	69592	81825	79626	58112	20619	40172	53178	63461	40836	29790	67405	45196	81821	65616	45306	32063
Bacteria|Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Kiritimatiellaeota	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria|Proteobacteria	3695	2495	497	742	6031	3612	1642	1924	1282	480	71	3612	2672	2042	3281	733	3581	1503	1189	2150	1555	6557	5140	1729	1623	2292	2408
Bacteria|Spirochaetes	3	11	3	8	3	0	1	0	11	9	6	11	0	6	3	0	5	4	4	3	3	8	7	6	0	6	0
Bacteria|Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
