Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9
Archaea	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	43211	105171	100778	42003	92119	57757	134150	54567	80344	65420	96009	89011	44916	96853	146579	55087	152124	91512	1	106539	303657	90018	148011	115076	32110	104090	218997
BacteriaPlasmid	0	5	4	6	3	13	5	14	3	3	1	0	0	0	5	4	7	3	0	4	20	7	12	0	2	0	11
Viruses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Archaea|Euryarchaeota	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|	0	1	0	0	0	1	4	0	1	0	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	2	0
Bacteria|Actinobacteria	1462	549	1099	273	563	305	214	344	2385	503	229	478	947	290	1476	432	958	492	0	839	1893	1073	2851	598	317	361	1420
Bacteria|Bacteroidetes	10138	25350	25733	25836	31775	33042	12323	32361	18658	23053	10316	20484	17888	8023	21317	7870	36779	20417	1	19830	61402	12412	28895	16180	10971	8924	35220
Bacteria|Calditrichaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Deferribacteres	70	262	9530	561	5141	143	13387	403	507	812	612	4466	439	398	346	1827	2632	1810	0	893	1381	1455	1423	11183	170	7194	300
Bacteria|Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	2190	17468	46735	10593	21098	14614	99563	11475	21834	15897	84568	45459	21452	85693	14369	41622	11713	13731	0	7192	14569	11197	22633	76207	2510	44963	5677
Bacteria|Fusobacteria	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadetes	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Kiritimatiellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	2299	7668	6335	4483	12089	9631	856	9788	5520	257	108	4394	2821	871	5308	1578	3551	2314	0	4127	9456	5205	7120	1407	866	2937	8727
Bacteria|Spirochaetes	2	3	3	3	1	1	3	0	0	3	2	10	3	2	0	0	0	2	0	0	0	0	0	0	0	1	1
Bacteria|Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia	27050	53870	11342	253	21450	20	7800	196	31439	24895	173	13718	1366	1574	103763	1757	96491	52746	0	73658	214955	58676	85089	9500	17276	39708	167652
BacteriaPlasmid|Bacteroidetes	0	3	4	1	3	8	2	14	2	3	1	0	0	0	5	0	7	2	0	4	20	7	12	0	1	0	10
BacteriaPlasmid|Firmicutes	0	2	0	5	0	5	3	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	1
BacteriaPlasmid|Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
