Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum	Cecum
Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
Bacteria	170630	142037	8435	13078	214391	165663	136567	111082	100516	152626	110668	82551	74516	180277	99722	93881	18752	92415	128182	150519	107051	135824	86930
BacteriaPlasmid	1	1	0	0	3	5	2	5	3	3	3	1	0	0	1	0	0	4	8	15	2	4	3
Viruses	0	0	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
Archaea|Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
Bacteria|	2	0	0	1	0	0	2	2	0	0	0	0	2	0	0	0	0	2	0	3	0	1	0
Bacteria|Actinobacteria	128	264	23	48	790	451	541	277	350	322	195	190	165	178	271	117	31	292	236	213	186	263	50
Bacteria|Bacteroidetes	11363	11758	1475	1226	36197	17196	11702	15303	14660	11657	8128	16342	9872	18034	13676	21124	2928	18789	39553	25805	20594	14896	13812
Bacteria|Calditrichaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
