	"""-log2FC"	"""=-log10(padj)"
Q9ER05/Ctrl	2.44	1.8
Q9CR35/Ctrb1	1.26	1.7
Q922D8/Mthfd1	-3.23	1.58
Q76MZ3/Ppp2r1a	-4.3	1.58
Q9CXN7/Pbld2	-3.63	1.58
A0A075B5V5/Ighv1-39	-3.7	1.58
Q99KC8/Vwa5a	-3.43	1.53
P17892/Pnliprp2	3.42	1.53
Q6T3U4/Npc1l1	3.2	1.45
Q9DCD0/Pgd	-1.45	1.45
Q3U367/Aldh9a1	-2.43	1.37
Q01853/Vcp	-2.02	1.35
Q61233/Lcp1	-2.21	1.17
P24527/Lta4h	-1.07	1.17
Q8VDD5/Myh9	-4.02	1.07
P63101/Ywhaz	-1.17	1.07
Q9DBG3-2/Ap2b1 isoform 2	-3.77	1.06
P62983/Rps27a	-3.66	1.06
Q91WV7/Slc3a1	2.77	1.01
A0A2I3BQH2/Gm49342	-2.96	1.01
A2AE89/Gstm1	-1.49	1.01
Q9R0P5/Dstn	-2.43	1.01
Q6PZE0/Muc19	2.47	1.01
Q9Z2V4/Pck1	-3.01	0.998
Q91ZJ5/Ugp2	-3.13	0.998
F8WIV2/Serpinb6a	-0.992	0.998
F6WR04/Ctss	-2.7	0.998
G3X8U3/2210016F16Rik	-3.53	0.998
Q91WT7/Akr1c14	-2.82	0.998
P97351/Rps3a	-2.26	0.998
H3BJQ7/Prdx5	-2.19	0.998
P30416/Fkbp4	-2.77	0.993
P10518/Alad	-2.1	0.99
Q9CQ52/Cela3b	0.886	0.984
D3YVJ7/Akr1b3	-3.46	0.971
Q99LX0/Park7	-2.82	0.955
Q60997/Dmbt1	-1.4	0.914
Q9JHR7/Ide	-2.19	0.914
P11499/Hsp90ab1	-1.97	0.914
Q61247/Serpinf2	3.59	0.914
Q61598/Gdi2	-2.02	0.914
B2RS76/Cpb1	0.914	0.914
Q99LB6/Mat2b	-3.01	0.914
Q6P8U6/Pnlip	1.42	0.911
P68510/Ywhah	-1.64	0.898
Q9R100/Cdh17	0.485	0.897
Q3UE92/Xpnpep1	-1.34	0.897
Q924M7/Mpi	-3.58	0.897
P55264/Adk	-1.4	0.897
Q3UZZ6/Sult1d1	-2.18	0.897
Q9D819/Ppa1	-1.36	0.897
Q8K0C5/Zg16	1.13	0.897
A0A1B0GRG8/Gm5678	-2.31	0.888
A0A1L1SV25/Actn4	-1.29	0.856
P28271/Aco1	-1.09	0.856
Q8QZR5/Gpt	-2.29	0.854
A0A1L1SST0/Ppia	-1.74	0.845
E9QK48/Eml2	-2.86	0.829
Q62468/Vil1	-0.897	0.829
P07901/Hsp90aa1	-1.88	0.829
Q3TVK3/Dnpep	0.795	0.829
O88844/Idh1	-0.956	0.829
P00329/Adh1	-2.83	0.829
P14152/Mdh1	-1.63	0.829
Q9CQV8/Ywhab	-1.93	0.829
O55135/Eif6	-2.92	0.829
Q00612/G6pdx	-2.14	0.823
O70456/Sfn	-1.75	0.814
P47791/Gsr	-0.941	0.805
P17182/Eno1	-0.739	0.805
P70695/Fbp2	-1.22	0.801
Q9Z2M7/Pmm2	-2.27	0.797
Q9Z0Z4/Heph	-2.56	0.782
A0A0A0MQA3/Serpina1a	0.618	0.782
Q9D8C9/Pnp2	-1.31	0.782
P63028/Tpt1	-1.96	0.782
Q3U2G2/Hspa4	-1.94	0.773
Q9JMH6/Txnrd1	-0.971	0.773
A9C496/Mup9	2.87	0.769
I7HPW8/Myo15b	-2.96	0.764
P07310/Ckm	-3.59	0.764
P62082/Rps7	-2.52	0.764
P62908/Rps3	-3.07	0.744
Q02053/Uba1	-1.68	0.737
P80314/Cct2	-3.54	0.737
Q3V0K9/Pls1	-1.1	0.727
Q7TSV4/Pgm2	-1.49	0.727
P27773/Pdia3	-0.919	0.727
Q9D8N0/Eef1g	-1.64	0.727
P07146/Prss2	0.875	0.727
P37804/Tagln	-1.14	0.727
Q9CWF2/Tubb2b	-3.11	0.719
H3BKM0/Ap2b1	-3.35	0.712
P00493/Hprt1	-1.79	0.709
P21550/Eno3	-1.55	0.701
P59999/Arpc4	-2.36	0.693
P12382/Pfkl	-1.36	0.676
Q64669/Nqo1	-1.53	0.653
Q9CPN9/2210010C04Rik	0.87	0.643
Q9CZU6/Cs	-1.78	0.632
P48758/Cbr1	-1.46	0.632
Q62395/Tff3	-1.41	0.632
O09159/Man2b1	-1.36	0.614
Q7M758/Naaladl1	0.394	0.614
Q3ULJ0/Gpd1l	-2.66	0.614
P50396/Gdi1	-1.58	0.613
Q7TPZ8/Cpa1	0.826	0.613
Q00898/Serpina1e	0.532	0.613
O70475/Ugdh	-1.43	0.61
P11679/Krt8	-1.57	0.61
Q8BVQ9/Psmc2	-2.67	0.61
O70435/Psma3	-1.15	0.61
Q60604/Scin	-1.31	0.599
Q99J77/Nans	-1.56	0.599
Q8VCR7/Abhd14b	-3.3	0.599
A0A1B0GRR3/Rps11	-2.67	0.596
P28474/Adh5	-0.988	0.581
P19639/Gstm3	-1.27	0.581
P51855/Gss	-1.19	0.579
A2A9U8/Cela3a	1.1	0.579
P61982/Ywhag	-1.19	0.578
Q7TPR4/Actn1	-0.779	0.575
Q99KI0/Aco2	-0.761	0.575
P08249/Mdh2	-2.17	0.575
P62242/Rps8	-1.83	0.575
P27005/S100a8	1.63	0.575
Q3UWA6/Gucy2c	-2.4	0.57
Q8R0Y6/Aldh1l1	-1.9	0.57
Q9CWJ9/Atic	-0.776	0.57
P52480/Pkm	-0.417	0.57
P09103/P4hb	-0.611	0.57
E9PYH2/Acot7	-1.56	0.57
Q9WUU7/Ctsz	-1.73	0.57
P05208/Cela2a	1	0.57
Q60692/Psmb6	-2.01	0.57
Q99JY9/Actr3	-2.28	0.567
O88990/Actn3	-1.61	0.56
Q8BFR5/Tufm	-1.16	0.56
Q504N0/Cpa2	1.36	0.56
A0A0A6YXW6/Igha	0.494	0.56
P01878/	0.412	0.56
