	"""**log2FC"	"""-log10(adjp)"
P70441/Slc9a3r1	4.31	2.08
B1B1A8/Mylk	3.78	2.01
Q60967/Papss1	4.35	1.9
P37804/Tagln	1.95	1.66
P07310/Ckm	4.07	1.66
Q91YN5/Uap1	4.13	1.49
Q6URW6/Myh14	5.36	1.42
Q99K30/Eps8l2	3.85	1.18
P08113/Hsp90b1	4.55	1.18
Q04447/Ckb	1.45	1.18
E9Q3X0/Mvp	1.18	1.07
P11679/Krt8	2.01	1.07
Q9EPB4/Pycard	2.26	1.07
Q99J99/Mpst	1.47	1.02
Q9Z2H7/Gipc2	3.86	1.02
P01027/C3	0.75	1.02
P50580/Pa2g4	3.32	1.01
P32261/Serpinc1	3.81	1.01
P09055-2/Itgb1 isoform 2	-3.85	0.965
Q6P8U6/Pnlip	1.42	0.919
P97372/Psme2	3.15	0.896
F8WHL2/Copa	2.69	0.896
B1AT82/Prpsap1	3.14	0.896
Q6DYE8/Enpp3	-0.7	0.881
A0A2R8VHD0/Tsta3	3.09	0.82
Q9Z1Q5/Clic1	2.15	0.803
P30416/Fkbp4	2.46	0.803
P21981/Tgm2	1.87	0.803
Q6T3U4/Npc1l1	2.91	0.803
P29758/Oat	2.64	0.8
Q9JHC0/Gpx2	3.12	0.795
P51432/Plcb3	3.12	0.795
Q3TQC7/Entpd5	3.7	0.771
P11983/Tcp1	3.71	0.771
Q9QWG7-2/Sult1b1 isoform 2	3.57	0.771
Q8R0F8/Fahd1	-2.56	0.771
Q1RME4/Gm1123	1.34	0.762
Q91WL0/Eps8l3	3.54	0.737
Q8VCC2/Ces1	1.24	0.701
Q8VCW8/Acsf2	3.62	0.677
Q9QXS1/Plec	1.45	0.677
A0A1D5RM72/Dmbt1	-0.455	0.661
P70460/Vasp	3.48	0.661
Q01853/Vcp	1.49	0.661
Q8VDK1/Nit1	2.85	0.643
P13020/Gsn	1.73	0.643
A0A0N4SV00/Cct7	3.57	0.643
P62631/Eef1a2	3.55	0.643
O88428/Papss2	0.527	0.643
Q9JJU8/Sh3bgrl	3.55	0.643
O55029/Copb2	2	0.643
Q9D816/Cyp2c55	2.59	0.623
Q3UW98/Clca4b	-0.706	0.621
A0A0G2JFF1/Ppp1cc	2.86	0.595
Q8K0C5/Zg16	-1.12	0.595
Q8CI94/Pygb	1.89	0.595
O08795-2/Prkcsh	3.5	0.585
P19001/Krt19	1.26	0.585
P08249/Mdh2	2.33	0.585
E9Q5Z6/Adh6a	-1.11	0.585
Q8VCR7/Abhd14b	3.47	0.585
E9PZD8/Cp	1.47	0.585
I7HPW8/Myo15b	3.72	0.564
A0A338P6K2/Myh11	3.47	0.554
Q9D0I9/Rars	4.09	0.554
Q9CPY7/Lap3	-0.606	0.554
G3X8T3/Ctsa	2.76	0.55
Q7M758/Naaladl1	-0.464	0.546
Q9R100/Cdh17	-0.489	0.543
Q8BHN3/Ganab	4.03	0.543
Q78PY7/Snd1	2.88	0.533
Q8VCT4/Ces1d	1.05	0.531
Q9CWF2/Tubb2b	3.92	0.495
Q9D8N0/Eef1g	1.33	0.495
P47963/Rpl13	2.22	0.482
O35350/Capn1	1.16	0.476
G3UY93/Vars	2.81	0.471
Q571I9/Aldh16a1	2.52	0.471
A0A1B0GSG5/Rnh1	1.17	0.466
P58242/Smpdl3b	-0.856	0.466
P03953/Cfd	2.43	0.459
Q3UE92/Xpnpep1	1.18	0.449
A0A1B0GSX0/Ldha	1.23	0.449
Q9CZM2/Rpl15	2.15	0.449
A0A0G2JEM7/Lap3	-2.68	0.449
A0A286YE28/Tkt	0.629	0.449
Q91WT7/Akr1c14	1.68	0.449
Q7TPR4/Actn1	0.758	0.449
F6TQW2/Ighg2c	1.41	0.449
F6XI62/Rpl7	2.22	0.449
O88569/Hnrnpa2b1	1.59	0.449
Q06770/Serpina6	1.85	0.449
P07724/Alb	0.337	0.449
P21614/Gc	0.879	0.449
Q9JHU9/Isyna1	-2.01	0.449
O88312/Agr2	2.59	0.449
Q02053/Uba1	1.23	0.446
Q64433/Hspe1	1.76	0.426
Q9JKF1/Iqgap1	0.744	0.426
A0A0B4J1J6/Ighv10-1	-1.55	0.416
D3Z6V6/Enpp7	-0.786	0.416
Q7TQI3/Otub1	2.64	0.4
Q76MZ3/Ppp2r1a	1.51	0.4
Q64727/Vcl	1.75	0.4
Q60997/Dmbt1	-0.769	0.4
Q3TML0/Pdia6	2.12	0.395
P55264/Adk	1.09	0.395
F8WIV2/Serpinb6a	-0.748	0.395
P09103/P4hb	0.599	0.389
Q9DBX3/Susd2	-0.755	0.379
P20029/Hspa5	0.961	0.379
Q61838/Pzp	0.481	0.378
P97351/Rps3a	1.41	0.378
A0A0A6YXW6/Igha	-0.482	0.378
Q9QYB1/Clic4	2.41	0.378
E9Q7P9/Cdhr2	-0.423	0.374
Q8VDW0/Ddx39a	2.56	0.374
Q9ER05/Ctrl	1.73	0.374
Q5SXR6/Cltc	1.91	0.374
Q62468/Vil1	0.55	0.374
O88990/Actn3	1.81	0.374
A0A0R4J093/Cmpk1	2.28	0.374
Q8VDD5/Myh9	2.74	0.374
P62137/Ppp1ca	1.97	0.374
D3Z5G7/Ces1b	1.1	0.374
P80314/Cct2	3.03	0.374
Q9WUM3/Coro1b	1.29	0.374
P53026/Rpl10a	1.89	0.374
P14211/Calr	0.813	0.374
Q91ZJ5/Ugp2	1.72	0.374
P63005/Pafah1b1	2.03	0.374
Q60928/Ggt1	-0.466	0.374
P54869/Hmgcs2	0.529	0.374
Q9DC50/Crot	-2.06	0.374
P24822/Iap	-0.916	0.364
P47962/Rpl5	1.48	0.358
P70168/Kpnb1	1.36	0.358
P01878/	-0.383	0.358
Q9R1P0/Psma4	1.26	0.358
P10126/Eef1a1	2.31	0.356
P61255/Rpl26	2.48	0.352
A0A1D5RM42/Ces1c	1.89	0.352
P58252/Eef2	0.443	0.337
Q5XJY5/Arcn1	1.64	0.337
P14115/Rpl27a	2.1	0.329
A2CEK3/Pgm1	0.712	0.329
P07901/Hsp90aa1	0.976	0.329
B0R1E3/Hint1	2.54	0.328
Q9CZS1/Aldh1b1	1	0.328
E9PWP7/Muc3	1.69	0.328
Q9EQH3/Vps35	2.43	0.32
A0A0A0MQF6/Gapdh	0.606	0.316
P48758/Cbr1	0.863	0.316
P68040/Rack1	0.715	0.316
P11591/Mup5	-2.33	0.316
P61982/Ywhag	0.844	0.316
Q61598/Gdi2	1.23	0.316
P10630-2/Eif4a2	1.67	0.316
Q91WU0/Ces1f	0.812	0.316
Q9R0P5/Dstn	1.11	0.316
Q9CWJ9/Atic	0.525	0.301
P54071/Idh2	1.42	0.301
P24549/Aldh1a1	0.521	0.301
P12382/Pfkl	0.572	0.301
Q9DCM0/Ethe1	0.999	0.3
A0A0A6YVP0/Ighg2b	0.94	0.299
Q9JHR7/Ide	0.806	0.299
A0A0G2JF23/Mdh2	2.45	0.299
Q9WU78-3/Pdcd6ip	2.13	0.298
Q8R146/Apeh	-0.499	0.296
Q99JY9/Actr3	1.35	0.296
Q00519/Xdh	1.42	0.292
Q9CVB6/Arpc2	1.45	0.286
Q00612/G6pdx	0.834	0.28
Q9DBJ1/Pgam1	-0.782	0.28
P62806/H4c1	-0.782	0.28
P07146/Prss2	-0.633	0.28
Q99KK7/Dpp3	0.757	0.28
A0A1B0GRG8/Gm5678	1.01	0.28
P16627/Hspa1l	1.4	0.28
Q6ZQ38/Cand1	2.75	0.28
Q9CQ60/Pgls	1.17	0.28
Q99J77/Nans	0.795	0.278
A2A9U8/Cela3a	1.04	0.274
Q8QZR5/Gpt	1.12	0.272
Q9D8C9/Pnp2	0.738	0.272
Q9CWS0/Ddah1	1.76	0.272
Q9D1Q5/Serpinb3b	-1.74	0.272
P60843/Eif4a1	1.65	0.272
Q60604/Scin	0.722	0.272
Q9JIP7/Slc15a1	1.65	0.272
E9PYH2/Acot7	0.896	0.272
E9QNL5/Sult1a1	1.71	0.272
Q8BVQ9/Psmc2	1.84	0.272
Q9CPN9/2210010C04Rik	-0.618	0.272
A2A848/Acox1	2.1	0.272
P28665/Mug1	0.945	0.263
Q9WUA3/Pfkp	1.49	0.257
E9PYN9/Aoc1	1.45	0.257
P00493/Hprt1	0.985	0.249
A0A0J9YVE6/Mgam	-0.379	0.249
P31254/Uba1y	1.03	0.248
P97412/Lyst	-1.26	0.244
P70677/Casp3	1.73	0.244
D3YYJ7/Mptx2	1.95	0.244
Q9CQI6/Cotl1	1.12	0.239
O09159/Man2b1	0.827	0.239
O55135/Eif6	1.16	0.237
P50396/Gdi1	0.805	0.236
P97449/Anpep	0.298	0.234
P52196/Tst	1.12	0.234
P01806/	-1.35	0.234
Q3UPL0/Sec31a	3.69	0.234
P62754/Rps6	1.67	0.234
E9Q6F4/Npepps	0.952	0.234
P28271/Aco1	0.511	0.234
Q02257/Jup	1.65	0.234
P24527/Lta4h	0.406	0.234
P05784/Krt18	1.86	0.234
F6VVE6/Arpc1b	1.61	0.234
Q9QUM9/Psma6	0.741	0.227
Q9WUM4/Coro1c	1.42	0.227
Q11136/Pepd	-0.498	0.226
P53657/Pklr	0.758	0.225
Q9D7Z6/Clca1	-0.237	0.225
Q91Z25/Arpc1b	0.871	0.225
A0A087WRC1/Dnpep	-1.25	0.225
A0A075B5T0/Ighv3-8	-1.46	0.225
E9QNN1/Dhx9	3.57	0.225
P42932/Cct8	3.58	0.222
Q8BKC5/Ipo5	3.45	0.222
A0A140LI60/Myh14	3.54	0.222
P97823/Lypla1	1.55	0.222
P97461/Rps5	1.25	0.222
Q3TXS7/Psmd1	2.62	0.222
