ACCESSION,DESCRIPTION,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14,INTENSITY_15,INTENSITY_16,INTENSITY_17
A0A0G2JFQ0,"Aldehyde dehydrogenase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1 ",9.985047249809507e-05,5.664844461974913e-05,9.262540906113862e-05,8.263275406776859e-05,0.0002891662522222324,0.00012247318655172646,7.79365529967166e-05,5.523899558934581e-05,9.486643165881882e-05,0.0001935060608349087,0.00013622951448021537,0.001046583444322906,0.00013841828818110912,6.419355952644502e-05,0.00012366059493608024,0.00014552214697630985,7.20956470207181e-05
Q8BV79,TPR and ankyrin repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Trank1 PE=2 SV=3 ,0.0002142881352242847,0.00020858981435663163,0.00019499445016878084,0.00026611362476668555,0.0001268506726180451,0.00016937128883700607,0.0002429611028454288,0.00038657790019223654,0.00024757370844567724,0.0005084169024340203,0.00038990246971515823,0.0003107346073962322,0.00017519581101337964,0.0005767455716712748,0.00018558130732717346,0.0008370356040148029,0.00011513313911068105
P07310,Creatine kinase M-type OS=Mus musculus OX=10090 GN=Ckm PE=1 SV=1 ,0.00016133346184857186,0.00025454806926974603,0.00014825158217851572,0.0003138997852694984,0.00027941279296764433,5.448957991451918e-05,0.0003421612502880482,0.00018558211625508973,0.00026049320296496156,0.0002657325248005743,3.66304862922898e-05,0.00030383050448802633,2.8254760872560958e-05,6.793959901715329e-05,4.733013990151799e-05,8.051410407805105e-05,0.000164760656162602
A0A1Y7VMA0,Ribosyldihydronicotinamide dehydrogenase [quinone] (Fragment) OS=Mus musculus OX=10090 GN=Nqo2 PE=1 SV=1 ,3.353473611707747e-05,3.9083596488727645e-05,3.466615575563635e-05,5.696629077670976e-05,8.121125206110554e-05,2.8034294925130144e-05,4.903772593106185e-05,3.806346106622441e-05,4.1442377629329276e-05,5.228866386295735e-05,5.355554669080969e-05,4.56337831378173e-05,7.56586317861504e-06,0.00014537512478516413,1.695299469891606e-05,1.6921761588664765e-05,1.697696959317284e-05
A0A1W2P7Z3,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1 ,1.4463467825578673e-05,1.1818131783306252e-05,1.9188484170343165e-05,4.3178947219510184e-05,4.32449795246845e-05,2.477878272152496e-05,3.163874004633928e-05,5.428960461926284e-06,3.0500723572387522e-05,9.086909545618047e-06,1.4794086851540603e-06,1.865395876268408e-05,2.577027307267876e-06,1.3604126397619416e-06,1.6191982652588783e-06,2.7378009671812817e-06,9.703387859010642e-06
D3YZU5,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1 ,6.653693547887125e-05,0.00011069402748729828,8.156957131211706e-05,0.00010687917638747427,0.00014881117496737161,5.998122417143083e-05,0.00012217399168641612,3.0498625058312186e-05,0.00011516095300782714,8.470536787331303e-05,1.3385330242417945e-05,7.062547426507851e-05,5.917527727956934e-05,1.5716857355961192e-05,4.362249919562035e-05,3.113715125772334e-05,0.00013250044577368936
P24270,Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4 ,0.0001336402536322429,0.00014802395017924974,0.0001924196537189285,0.00013642413378736745,0.0003188149120142984,0.00012571544406954287,7.381553951329287e-05,0.00013615636265869942,0.0001559413132496919,9.244819565621747e-05,0.00011558491417233479,0.00014264571571960766,0.0002182675220227271,0.00011183598233071471,0.00014702076603716058,0.00015718493355748497,0.00013412302139833942
D3YZU4,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1 ,6.653693547887125e-05,0.00011069402748729828,8.156957131211706e-05,0.00010687917638747427,0.00014881117496737161,5.998122417143083e-05,0.00012217399168641612,3.0498625058312186e-05,0.00011516095300782714,8.470536787331303e-05,1.3385330242417945e-05,7.062547426507851e-05,5.917527727956934e-05,1.5716857355961192e-05,4.362249919562035e-05,3.113715125772334e-05,0.00013250044577368936
A0A0U1RNK9,Electron transfer flavoprotein subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=2 ,3.689646692349127e-05,2.4583455837039754e-05,3.610726256156365e-05,5.977573334045992e-05,5.447774632822308e-05,6.187195625606435e-05,3.598828696588715e-05,3.547790278994711e-05,2.734295744420178e-05,5.6892520598572176e-05,2.1297591674345897e-05,3.456630889137397e-05,3.788531329243928e-05,1.4038698527870892e-05,1.6575807248871924e-05,1.4583354326254434e-05,3.546810074128061e-05
A0A0N4SW56,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus OX=10090 GN=Aldh1l1 PE=1 SV=1 ,5.9472635827668256e-05,3.9204301980989096e-05,6.370919053465478e-05,7.232173766199793e-05,0.00018454691488520986,8.199036655383764e-05,0.00010218819507588194,9.62745811769784e-05,0.00011737307445648636,6.976257403136168e-05,0.00029882837822016244,5.28712187433099e-05,0.00017080703202958014,0.00031710723611698936,1.525015279851004e-05,0.0001255713113369597,8.929959833688968e-05
E9PUL3,Chloride channel accessory 3B OS=Mus musculus OX=10090 GN=Clca3b PE=1 SV=1 ,0.00021423257505352023,0.00043978724250801066,0.0002078463251314084,0.0003932958487259286,0.000296690349415713,0.00022440976741310467,0.00046688273272780416,8.046604712836973e-05,0.0002497731068329534,0.0003907945410507809,0.00010594963330365305,0.00028109019479636617,0.0001219837728705223,0.0003285279402626441,0.0003392783757852258,0.00026904196550096615,0.00016836301790018282
D3YZU1,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1 ,6.653693547887125e-05,0.00011069402748729828,8.156957131211706e-05,0.00010687917638747427,0.00014881117496737161,5.998122417143083e-05,0.00012217399168641612,3.0498625058312186e-05,0.00011516095300782714,8.470536787331303e-05,1.3385330242417945e-05,7.062547426507851e-05,5.917527727956934e-05,1.5716857355961192e-05,4.362249919562035e-05,3.113715125772334e-05,0.00013250044577368936
P34022,Ran-specific GTPase-activating protein OS=Mus musculus OX=10090 GN=Ranbp1 PE=1 SV=2 ,4.818055079240829e-06,9.131130883493369e-06,1.203196099489556e-05,1.636791670163645e-05,1.3688377648769993e-05,1.2331555343798345e-05,1.2480446537198167e-05,8.097171038656136e-06,5.939033650200899e-06,5.4310991214118775e-06,4.051411972919332e-06,4.776990481753427e-06,7.47680670429337e-05,5.517356105880002e-06,5.536744138224755e-05,2.4470506705692515e-05,1.1086687269812536e-05
A0A0U1RNK6,S-adenosylmethionine synthase OS=Mus musculus OX=10090 GN=Mat2a PE=1 SV=1 ,8.090964427368735e-05,9.736998430930343e-05,9.453220187013631e-05,0.00013136488303887303,0.0001986106016348659,0.0001244826697031503,0.0001453326838283617,8.072383400376237e-05,0.00012499439424773262,0.00013460803819463304,0.00014830333871795293,6.353384410486678e-05,0.00017779801662222764,0.00014383252233396773,0.0002079045467183486,0.0002612171678190793,7.463686058108481e-05
A0A0N4SVT2,Cytosolic 10-formyltetrahydrofolate dehydrogenase (Fragment) OS=Mus musculus OX=10090 GN=Aldh1l1 PE=1 SV=1 ,2.2244763371812295e-05,8.300914361020242e-06,6.570247374746158e-06,1.2859541337661324e-06,0.00010965925581965423,1.3327632051759273e-05,5.184115543278096e-05,3.2202357500032335e-06,4.8885779430906255e-05,1.3473351548466882e-05,1.4414019750403613e-07,9.942694449919562e-06,7.681404345662834e-07,6.542333679500658e-07,9.665170800921177e-07,6.460982270592932e-07,3.807841116226988e-05
P84228,Histone H3.2 OS=Mus musculus OX=10090 GN=Hist1h3b PE=1 SV=2 ,0.0003235951665113993,0.0003854170519398888,0.00014553232129776726,0.00018706309425799077,0.00015480938382636598,0.0005585076431688723,0.00026727072712513794,6.0312916176792006e-05,0.0003825014826752856,0.0009241259785202199,0.00026370936149758376,0.0005402896873085167,0.00021862975604040047,0.0003714579353521023,0.00023468720773669362,0.00026287022246289837,0.00013310438335374124
P67984,60S ribosomal protein L22 OS=Mus musculus OX=10090 GN=Rpl22 PE=1 SV=2 ,1.4128908418014969e-05,4.5221216313700316e-05,2.125631063612428e-05,7.059151390918225e-05,0.00013405413148602364,6.182398703103222e-05,0.00011314030056016827,5.449472564741956e-06,0.00011709598877288567,2.8898199487870047e-05,6.415362257719133e-06,6.469288421489643e-05,1.8871614839922064e-05,2.87334390736214e-06,4.180554286449039e-06,1.8935782075713934e-05,1.54200723186339e-05
A0A0A6YWG2,Immunoglobulin heavy variable V1-5 (Fragment) OS=Mus musculus OX=10090 GN=Ighv1-5 PE=4 SV=1 ,0.00012886720623366528,5.753307942535863e-05,0.00018204421351535524,5.508105955782001e-05,0.00012518885584709223,0.00016776743115395359,9.561525249689436e-05,7.748749454202945e-05,7.145732440928466e-05,5.719560070586297e-05,4.873465498251478e-05,0.00010411412297981215,3.125538888376124e-05,8.078568029121166e-06,0.00014929810402157203,5.3179730563330636e-05,0.00011498432978636306
Q9WTQ5,A-kinase anchor protein 12 OS=Mus musculus OX=10090 GN=Akap12 PE=1 SV=1 ,1.608371072993178e-06,7.094733329491537e-06,6.022198523035121e-06,7.684210405903095e-06,1.885714096326749e-05,5.946452845852533e-06,1.910112213236972e-05,5.228828229465822e-06,9.495815216643271e-06,2.9276397716087733e-06,1.00581377114365e-06,2.1196057902320638e-06,1.4642022017711915e-05,4.512168997952474e-06,1.9871755713805397e-05,1.9493357962068107e-05,3.510018571659521e-06
P26443,"Glutamate dehydrogenase 1, mitochondrial OS=Mus musculus OX=10090 GN=Glud1 PE=1 SV=1 ",6.937245968008119e-05,0.00011206780997683929,4.4876611762898046e-05,8.115924896232318e-05,0.0001131407703769307,8.19073116775142e-05,0.00010742070119283741,4.77489210631386e-05,0.00015094552119210877,0.00014473186880905624,9.185301083567084e-05,0.00012167442804538633,0.0003416376199023091,0.0002450165946180212,0.0003623608249090492,0.0003917838507062035,0.00014843800379741134
P00920,Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4 ,0.0022322849446594953,0.0023095866168693926,0.001861789591715166,0.0018174667992386137,0.0006247849215325248,0.002581113898414939,0.001087333386846846,0.0013889150328082374,0.0008570572368288607,0.0015185428096928036,0.0010928473468479261,0.0013593832956622742,0.000733074278552865,0.0006393594443854192,0.0006106034625542272,0.0007040982529495107,0.0012042200457167047
P07309,Transthyretin OS=Mus musculus OX=10090 GN=Ttr PE=1 SV=1 ,0.00014562458515410032,0.00010147014705872907,0.0001471065775824713,0.00020049197221535845,0.00021889656528902785,0.0001619014928625997,0.00011776016257850395,0.00047666469052600683,0.00012210655796997732,0.0002358809050812819,0.00043401161014922004,0.0001532971714128366,0.00015506663255106877,0.000302888484553306,0.00014117185343079104,0.00011362422779893226,0.0001729463685155175
P47757,F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb PE=1 SV=3 ,0.000164209231558092,0.0002226604660981859,0.0005308119003503361,0.00015070648698588428,0.0003116349354687589,0.0005543990329551472,0.0003128820930838424,0.0005096592533498808,0.0003076396848244555,0.0001387791252179022,7.061704339069351e-05,0.0001360542603405812,6.447363173315299e-05,8.802945169431394e-05,0.00035704727398849036,0.00021909762742246963,0.00015138394427452516
Q4KML4,Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1 ,7.973487056141786e-06,6.282894222498995e-06,1.0727903631375927e-05,7.075010949830603e-06,1.2733056132611454e-05,9.848930668266576e-06,8.179412246535996e-06,4.568653212167907e-06,6.202915040043348e-06,4.611347291533645e-06,7.509613918963624e-07,6.735203593246969e-06,5.085694152974404e-07,2.2345210109421536e-06,5.2285847861567586e-06,6.787150222533203e-07,5.959333632764103e-06
P47754,F-actin-capping protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Capza2 PE=1 SV=3 ,0.0001419747317204856,0.00015410555244328196,0.00016221267086058059,0.00013113603012932835,0.0001213898492823596,0.00021402004269153088,7.048445432248733e-05,0.00010569700381748809,8.269069292216562e-05,0.0001645495655417424,9.479076605773883e-05,0.00012892651900380921,0.00011030100439778364,0.00014465414378975566,0.00012534173970848487,0.00015304397025882433,9.662411934824101e-05
P47753,F-actin-capping protein subunit alpha-1 OS=Mus musculus OX=10090 GN=Capza1 PE=1 SV=4 ,0.000543743275774404,0.0008254873808984842,0.0003930663144345513,0.0005302506862743994,0.0005959732027435851,0.0003673528672287621,0.0005146488379592311,0.0009528784234445437,0.0004311892176871054,0.0005322465702563333,5.146507662260607e-05,0.0007896937095960704,6.764907925970424e-05,5.82300439669322e-05,4.439621457245863e-05,6.036611034124476e-05,0.00040424586984789826
