ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14,INTENSITY_15,INTENSITY_16,INTENSITY_17
10023,1352154.8428313208,16505563.027420454,11519476.126915881,20373409.873133708,169526450.89512867,20012090.715093277,83134606.2551174,1081791.0,193177200.805344,1064205.6218906892,36708902.86474376,1349190.4352406124,75640403.68725346,285145497.9467074,64988570.81108229,81978172.4297392,2174435.678385624
10025,5820243.482006691,3007523.556115876,2252205.887556118,3351622.6069883592,13125408.534909062,3998540.5557509363,22207173.72620927,1176590.4384702952,37120274.02619968,5656842.236195145,2021045.8918059717,3172511.788533747,32108707.336649332,5648360.292524304,38581595.97303325,27967928.32451023,3346236.4051690693
10026,297805578.2088073,153242602.92154452,490462942.02405393,201033038.53178814,5164950159.548028,309680071.2011292,1520906406.0613887,291289324.4667602,3478873703.860433,196449773.4958844,494031717.1878109,143603139.9799152,1023412322.0168455,542712304.7944009,490103371.3174979,2167152120.3390193,534754766.15298814
10032,6021081.253544965,15935.69584942298,17155815.66050723,1024223.4230628706,14496051.67086804,7597199.386310618,6943639.274235295,13330026.0,5176265.558502022,822426.8036707293,68979624.1484591,734768.4409746035,32709328.10008191,12556994.226877188,91347666.8732034,82001780.40386733,20385995.20718003
10035,38834045.77516005,40060182.7009904,22112351.37834841,60302553.97333442,277783991.02836365,42872805.91107969,177281512.16475725,26067525.00757628,451227757.2257107,68011791.7695264,312669646.44523954,69006594.7918009,363040083.3164159,151914437.84375387,228955549.86411533,357532114.7175814,68282778.87631063
10046,33989757.350722544,47571879.01817236,38606118.07935932,54032674.089058325,369813395.8649197,32993842.06817848,165459866.5395761,6489553.254873992,393845577.27784055,35343732.417445146,174896585.11889127,27583023.124703012,159553563.37784702,43285424.07867162,32732636.445461772,58541655.48185524,13478680.110965725
10060,33126288.759267107,26392547.715257548,36290646.27923528,42191686.39994789,339998043.9422559,49852361.34888398,304833288.43758065,17860319.08552094,367587160.7549537,27568433.056322828,179244800.59650895,27713047.828101765,288001323.98171735,161310784.15858337,300046982.47299683,768088811.186454,42165289.77009241
10065,8091912.793872608,8583571.05310587,8690297.319628997,6231409.566577278,73926040.27229515,7037024.80857235,33932087.73533471,7850853.490513746,43353288.366265506,5956343.422756894,5866670.563032277,10052282.45316303,4975318.334155705,43795684.43394839,11151688.847170722,15297640.559023134,4159944.452778675
10078,47662479.84441863,1250281.2030953227,890006.9535952614,879356.9947779804,4333004.315107661,1226359.9481363008,9257705.289499735,584885.4387776925,9140835.678895496,17207973.0855493,17958278.783419807,1102568.0,63579714.13681818,39524981.09521306,56615353.31613095,80268630.86623283,38384097.439995795
10130,109197497.37550268,59759595.27185401,96400176.94419658,145094214.06673256,944304381.6586674,140119238.81082222,552523017.7972343,60171389.41038357,785752506.6499021,42466903.67406457,489562314.9600784,63932954.57351055,530961441.7125699,176758492.5946682,574646485.552371,817360089.0846425,121414547.48852362
10165,5353257.0,2563568.0188708487,3339914.3015062762,5063692.920084197,71017697.81038778,1859224.6779397866,19583957.301325206,1767471.837596465,48614006.69323014,5122875.200805754,8071080.731661138,5455743.978389096,18411894.856887538,2495466.3892473085,8739700.491614904,47302093.220237,5004366.246558691
10183,21400854.947274264,14044381.577516194,9379220.776860017,9147555.379862262,62146073.28387486,14649516.4470018,54897020.15810586,1793672.579604484,149204392.66757485,9910055.49102865,6274409.387127453,9115218.161804304,27026157.225381494,11479592.936461128,94204673.6099179,22228775.126625206,11537795.189093921
10186,230460371.66847122,333748944.5029385,236691804.4051125,245066328.63480183,1019457590.8208774,291541713.14725256,810783836.373517,197617613.28567597,1298483325.9301753,259975089.4489783,208289623.0610683,236750733.16718712,444357860.7676471,633489178.3361677,734717408.920769,863712713.4033409,405430531.789832
10210,99704421.8121243,48369434.9979793,52144474.894424304,56212021.97615658,397573125.17903227,187699630.47849938,232435159.0220598,38177268.57395911,276563403.02860165,51054611.78224442,110277872.86233918,46995179.899372846,266531213.93430096,102961072.70614588,217610908.3070039,452736060.4428249,75016794.01295832
10211,29485971.225283135,45343240.755947076,41955369.16442295,49228817.87361796,376332867.9989875,26115707.42328071,254548480.30861175,3637380.8693735087,324030665.37729055,24905969.628469817,47874855.79773186,56006398.311155125,65771562.01744825,68885075.65516542,77687876.89575915,185989745.6765423,9541287.833827453
10255,2838671.2056060364,2825408.405931041,2004807.3218473163,1405107.2712289495,33709343.71816526,1778901.6191545846,15942153.248619026,4721160.202974072,27456128.61466008,2366551.3595436597,120796771.0,2643297.5466867187,149838641.87400812,175260246.48234108,121588210.03422976,184374650.8571163,2614425.871032976
10306,22112856.354281597,11143696.335129846,20487000.374341622,19636918.51575483,26701824.932170603,3073422.092604509,39250180.11607761,4088066.9583240533,68996239.68350156,11830183.528526086,162477675.11216018,5919698.417611841,180331035.74035856,139793756.32473314,106687961.27594703,360041735.20291746,35811492.40992957
10309,10479928.239378154,6092067.539804031,6289411.057017058,10328042.893569969,53072994.30582356,4851853.008905221,18499801.530981354,4718066.708227977,25980071.76432268,23201948.164474927,29423156.474551734,14874850.871826075,135913210.76905045,25470465.777934626,82520166.93660814,191680442.36249202,20343470.476009853
10331,27804940.332621474,18502035.32028115,29900513.90549679,21388385.010890182,204511177.00093672,52066141.28405178,112819057.26332335,17397248.057993446,270535239.92340165,37528539.742126994,422578889.7628855,30444127.40434992,186321386.8560746,44616529.12127266,103451217.36826076,104592951.97896989,27890909.895184718
10366,200769970.08184808,157244786.63966635,148309720.04167888,180029395.17612562,1312277157.525035,148828055.29123533,589784138.3591835,53954217.07301154,931132649.0856453,179059058.6172988,289529352.12358195,160892460.68212944,417565236.43377966,315823659.2536558,715988597.4211723,1210046596.4536312,178898541.97188008
10377,6695726.297335003,4671957.065637599,4554940.172812929,2701833.973966105,20471253.46828225,3655408.018083323,11232394.39306872,1956932.9538276228,21882921.73788832,1098201.0,3896718.086188074,3473627.20087312,2377880.659138155,50222209.58220423,52556873.31188768,19220881.685825747,5531954.980295353
10394,5127951.853560375,1187817.0,2367754.0,3614380.1975075095,61239836.271527186,2760374.6896012365,20747855.5169852,1433361.4946915037,27035785.96602419,6127928.068072874,35406028.58191637,910194.7486812862,150522589.31732413,20451624.252489295,25294138.181363523,128441477.6936446,2831540.853956887
104,27692519.601170752,22525001.385524217,28042402.95415972,30118652.46956905,252233298.34888184,22849502.710775826,239302120.98799467,4738570.157272266,422347441.2882714,19967971.0,41039155.802004285,31265346.451409563,32629872.9213824,56180116.60562403,22305559.90097126,41108063.44403754,39007327.006585464
10415,856012311.0909549,585875336.9345362,665246630.4121225,1055998522.6960073,4375626149.493006,831424260.7733755,2407155044.2148957,817452337.6532037,4287913592.5975637,804501041.3358834,2846201370.154892,724975487.4230958,4094732486.2158875,3540402940.7080517,6399908532.829098,8601833364.597847,1039149496.6811123
10444,568991952.885172,284494747.34198236,304892938.7846159,258597110.48713598,2006197753.4431148,410257864.55615354,1765815665.3164375,259548571.6777321,2081687102.2252924,328757877.7112758,322247055.27984697,222991824.70257697,618158290.1868008,542050553.6868434,534676960.0122871,581677394.7548069,541110616.4821402
10462,3793141.7585529,9613702.430942353,5228797.7602624325,6047272.397007225,71346900.7219802,7816640.842744636,62122206.83506321,43537042.68123713,52552729.73932022,10411171.050340502,352239410.0714565,8689357.560495045,430784934.4304762,423685039.32656336,225542543.35599402,480289159.4320975,10152765.07476708
10475,69997935.449972,64360211.30506382,11085117.522961661,71533775.84562956,689661217.2367293,77913580.79229009,292122849.4132064,55246959.47954831,1056632231.8044671,68226234.04618967,547090291.0541176,26360896.969322413,979928088.3986685,1169168083.8033767,1171079741.8781655,1548549736.424033,80434616.04552673
