ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14
10025,12903692.712026287,1783746.1976979154,25552086.173542563,4471004.144062637,4888853.3724874025,3948552.55157128,5981465.115834822,7216285.54737451,5462806.843611412,6997904.0,4645567.196136224,13597960.301215502,2265744.27646591,3057694.9671616815
10026,1276819454.4600353,86521212.65356354,1126447028.6666684,299061259.9336022,202396066.98744497,181518068.10404187,209495798.33140892,324277998.34418344,302647506.7330714,378146888.1261412,267471849.78229585,1425706329.452317,299488751.86549306,74708893.77227736
10032,19940645.43183277,2750693.777157267,79247899.105754,2493832.6668149424,1742124.0864663334,3609332.807725317,3255564.358680285,8832939.329031074,5793516.366265288,19715111.0,15648436.0,30074458.85903014,4100485.5692622107,272740.5539503332
10035,126841440.42789194,46103696.828148186,151432539.08800402,23612126.182584822,15332057.882012447,17538336.955899417,55024268.43025013,29997767.448098887,21766746.43133486,16202689.336930377,11857194.06750023,731089303.2939438,12226770.328467468,9056753.255527174
10046,560461332.3412815,32579153.356853552,586162727.8946636,38293688.15426765,62717860.755361855,47021383.70015529,47713622.90023471,36411311.79113324,43094628.45480331,22262270.213021617,16514397.129498893,389046354.66136897,26471913.440566424,27784139.137820434
10060,477363698.9708919,60830350.91204143,78161673.73698781,47399616.93880871,49063012.059163846,70491039.11684135,35167268.19021023,85355507.59519309,24826652.411988035,84880056.2607043,42189313.89242606,431741027.33612835,75794312.76430932,32752185.22723771
10065,28705541.14514627,13024927.59804931,31336280.825274564,19092678.560448844,14038848.746381508,18472495.343412023,18469644.01874351,14854224.614523321,6396640.290754794,11963416.329909254,9113507.86744007,6963120.999718365,9455154.414275363,4123856.6122322823
10078,67888991.82873447,50069414.203417145,47681058.01757161,24892779.33587309,38018978.36414121,43605854.166760296,29963204.129771855,9080904.320856676,20435177.519620392,23382903.647624843,24340445.7293438,65098734.32359842,13865771.143580697,2320973.0
10130,575286672.4824388,87987491.87821996,535121650.4439483,126679381.83800803,104023032.00505264,73653956.47044949,88428090.57963198,143327507.56390578,102817857.73848641,151705193.35456365,83600652.5032354,902292083.3688852,70753844.01511252,67052125.68098872
10165,86559531.65777573,3597126.3493409823,54423097.21977399,4680687.552189302,7349532.552369475,5902855.2303043865,2995515.0,7317197.929573393,5422664.526121475,4276669.162136768,3664971.174709229,91836152.67226067,2363338.875667771,2276406.8757819906
10183,15358606.648346774,502421.1343932831,3184455.179704383,1778309.0286901668,610715.8315377645,3935276.0038776277,3721293.0129585937,2233315.3174647996,1368175.4410168836,4621167.153067486,8012802.08568974,6139852.181467903,169410.20414710254,5981752.4936166685
10186,361357885.9590466,114516728.48288693,375658730.13352984,67102154.33546757,75224956.82556486,94989271.95957619,70217199.42123906,67321288.90970236,51117279.88991921,61742379.7668804,72588812.78853606,299061401.09837747,48516550.55166582,26455300.753924068
10210,437211745.4673929,163919709.85598424,272506853.35193974,112279027.58554108,136405263.07985845,134783968.6414186,110807614.63819647,47332534.67363392,33722469.80721282,73036417.38482425,51138990.477820486,343125106.05297536,118620372.7347876,38162868.96680826
10211,152207069.41726193,32384637.58914941,81477305.81911494,5892204.467833036,5225783.210262959,38806890.82181467,54937771.80111055,9321067.876108728,12301184.903426323,11851435.612025147,8538321.209396904,97678063.28269415,5107875.894096442,30856908.747825466
10252,3608347.73572979,4063910.4749258994,5079952.009444097,6817564.385993447,10616861.166615264,7823935.930159577,4433641.3121308815,8418647.864876892,748266.0457949034,2372039.0,5350973.531976605,12372089.102987207,5080538.12651349,3094972.3783181435
10255,10981670.40686297,28117575.723374598,2905637.7357228785,8084329.0,14536371.913838668,7180431.475453888,17439825.51793254,209499.0968955517,392392.5747127152,14588959.610206598,26570300.99759671,2291248.0152355703,13077562.130294899,6628893.493600909
10258,4834257.485074852,60166.63254013938,3638719.24690287,12252.0,194009.71051854978,600713.4372521185,398749.0782563009,996246.5303856913,242360.50379091926,1244128.0,376350.859417809,3894129.836152763,592105.4327214998,51138.211870812855
10306,15497872.050559213,17086374.57317419,1455346.4452147637,31621258.949637905,23003630.93036956,21632072.60954189,17514316.692592554,889727.3844494252,1214565.6624110972,14184981.61431553,11330445.716282696,733422.5519067978,10645636.210080713,16448353.0
10309,8774655.974819921,2589149.6787556396,6935514.850592999,2209630.8882087413,2699466.984716735,891544.9062763749,1230036.3974664083,2152947.545890754,2012190.8205994284,4433954.418905649,513504.16108972067,13385875.430375196,546039.346091031,1111918.2155482722
10312,386709080.8018187,6459340.340113967,47886620.456386775,6769733.977033652,248285.81740681766,2780520.0262383823,729248.7003917219,1056739.0,30039012.242384795,2323716.18059618,2911065.135420217,172465552.91560614,1931745.2379401599,5430109.8151556365
10331,148523076.4230841,9413592.989021942,166200852.55838516,24533888.05852375,14606441.944443183,6691984.554628399,15357669.98270387,21356041.79475773,14847562.054394642,24703024.36893134,19182470.187710673,68926991.87019601,7432566.1688179895,12697249.955692958
10366,397372569.52762514,78677928.7993292,2330098535.0291214,61236452.07057322,55980915.36629593,127084041.18978976,94194186.13777342,133767647.55150774,86189636.52386941,111576330.78712107,71802080.70118985,1817961673.8720584,44341685.80156456,57166287.41849079
10377,235127843.04548618,18667546.636009548,194666855.03011373,36688817.206635185,25925667.564295486,17103817.03039587,23278578.44225543,36852039.560584426,32665338.874719206,9354373.925129129,23038170.65249204,91448214.93811944,26253144.513289817,11098052.595953887
10394,505977970.004983,5053295.024899987,330464987.53251815,11871578.546607018,7039282.518072793,7726788.958814419,4581100.542529768,3395150.0,4098877.2520919368,4438771.132914279,10885627.696664264,336562081.0121911,4268986.6694014035,5385040.3412794545
10415,2845701475.277489,543008802.7481939,2543249971.9250655,644492843.6001083,636246709.3119639,700681685.8429555,534711505.02884763,850109555.2898468,640579980.0804586,779454096.7811308,624871137.9005246,4632374527.548254,819027805.5097398,414982786.9233171
10444,836046080.6304098,650982391.5080206,1272541646.0216854,566218527.1686796,265109512.37968314,485902891.7749555,563278786.3600428,385608321.1850831,186556356.38744193,410455723.0233174,371100400.3735403,862233953.2799631,236181791.85686997,159920752.50700495
10453,12986921.606432766,104267.86395942782,12048866.54034466,180665.033985817,2325523.0668940498,4886156.219456648,506236.70756534365,960651.4961849062,9191803.997849096,719981.0,541872.8641937753,1144700.0601294574,523447.32714478177,174954.7533591832
10475,331666585.1614636,63132783.474193014,561241453.8205881,3912359.4024539017,61856469.708992295,71936017.00911383,50300682.42128035,5078725.820474747,34157382.98971551,38978628.354379766,49878494.953327805,722353844.3455677,50234691.93131082,38189151.65445008
10489,172176115.9724074,31355627.655840978,28637600.08429227,32480693.460111957,12338008.554167382,13781935.509982686,14306778.744488228,8783203.301867854,19387679.96101162,9129160.0,17038082.784540225,303603082.1410073,5699255.637045769,13409968.819926076
10497,786192703.1929231,139562344.31321505,965104141.0884179,164502238.82663235,248283760.5604829,181427343.13930133,151748444.3177355,317500648.48108464,187699119.58727062,413092743.3322199,267412257.65403524,497148636.8305931,136240082.35634282,147324511.62721524
10501,0.0,5335712.7179799285,1927007.8319233954,4237332.113016818,5990007.148113225,5370426.039922157,5546516.6796783535,2570730.133025493,967673.0826684616,1162691.0,8225615.841914932,0.0,2607355.2265121825,4706750.8046630435
10513,12337054.445228117,61012023.2043316,5716570.735530555,34259400.9145655,67717290.95912352,2713317.8245059573,2307531.0,2016056.1852063583,966282.6246919807,1352949.907973033,1342869.675341058,7109440.738955595,26254177.006148096,19312074.48791928
10515,1106125985.5834303,50275989.40002032,550343716.1298085,131562512.64749673,95638441.31842718,163439399.32707986,62563568.7467428,105963809.23805451,54937942.74493774,182178755.8660825,67885291.69114263,1056960056.1617645,97348867.41977522,90890426.19710591
10522,67448636.883724,9014159.592420902,172181519.63161665,7453974.376356075,28513830.137126386,13958508.0,7838727.804118802,71856353.99402183,13631712.004437864,66459165.072890416,29710034.66924107,260641745.68329647,83125121.02451187,11144639.182202414
10532,450071252.55996823,51149452.219186895,200213864.79658604,62727079.978900775,68612484.94793542,80108025.4948061,70854137.63347228,64677511.75422284,62166234.04524427,64732579.64384526,32411230.21493884,152717022.69419143,42813409.453180365,57968600.87404056
10536,354369192.6864091,34765192.97024002,283794072.1471814,45973759.304313,67523383.6909746,40511879.05962043,35622312.619732514,36749537.23281047,24860054.14518308,110949789.50408049,36633537.651297085,623121003.0687368,61526171.7712905,44694256.26050418
10537,13207838.250654008,18834124.28151713,7080599.470883479,9106317.2179873,6539871.52720802,6869285.366451316,18938712.0,5730150.228104866,506478.5351489702,46831461.02820307,13404259.016850356,163941.5259113478,7697134.9153979,1809385.1723052626
10588,25862895.0,5437363.401489472,17616520.578702323,14736562.982028328,11616180.71373143,6933387.454795977,8188152.347669105,6459825.391409124,15010416.077670962,8532238.4282069,4593930.226329413,22535595.990661584,4990755.0418910235,2329242.704420007
10603,465030036.96286404,20262974.85062896,230726209.07922158,15835279.947991984,31741404.288819693,17153217.708098665,25202435.22981143,22559102.375855807,109225043.69625875,28299229.078450147,15869275.33893789,209246178.17731643,1662603481.8137634,12510811.376289003
10658,14747205.144154344,4359674.328844886,8473863.579441737,33468154.554907292,7392235.592272013,11335721.486085549,10633725.309588445,2707665.508425539,197795.32655547129,14369112.728686186,3498389.9157861765,5377482.579128524,13228070.122894278,15966396.602371907
10666,130471597.38695388,25413538.84968749,73361827.50299627,26830395.994741276,23378860.503579337,12510897.50710943,17516774.037477925,16272992.371530816,10793251.764546944,26341698.97212409,13619772.373966724,30166338.936791617,15546816.711712131,33003281.68150957
10671,7312980.999295091,2433873.24784612,20106394.61293753,4141905.725456764,9455610.378640233,2915214.3151451955,4942416.216760803,5463289.887185228,5541173.349460403,7336987.82290473,4513498.437043471,19811803.81690336,4008809.9012283534,1980482.8896827917
10681,400180688.4332277,9391983.79283291,105253547.16443653,4410123.241475325,7230699.004393757,14543076.694059946,17671860.59008827,152901847.01401693,85434548.13541251,12577058.430172792,9976150.77959574,153152834.05213502,8904369.839793436,2762381.0
10698,317401169.24065286,18579478.5042594,503571985.27762324,2357582.7093800623,16590439.466952655,19484221.27181961,18806523.456839632,14113220.526486482,36040071.80755383,7267393.43803555,31087481.94042267,7084233.152523195,8710780.929458706,16720467.0
10699,87829171.42628312,1535876.752808871,34747273.68898934,3759682.014866649,1258525.3782903713,3278584.3818360474,2318177.969186578,3339727.2044644365,4897749.734141882,1244808.0,1047261.937114429,43506422.69801885,1480445.4074824108,697449.3479216229
10706,265788052.74416316,31054283.848559745,223289287.57375038,60708661.49585202,68643791.7990937,31582614.962093417,29528694.53328069,64965434.519402705,46011859.810702726,110539362.22982962,116749440.36143081,222194836.14239958,85964313.35770361,35550821.70971164
10710,815177375.866328,47998287.17906984,1153841878.03213,14723828.462475482,57745244.43237049,89427681.65520336,21030238.2790275,30521100.494289916,123199516.33017796,32417358.409479547,35143209.86763471,1479704066.4450543,25597075.21823612,18357858.1281889
10717,64109546.61651025,7496383.455353698,42096018.38485019,8200281.292380228,6372986.668490147,11042668.875503087,8439542.485259889,15184503.75820057,11860880.099695189,13202493.610528467,14504859.633884877,69003964.31473267,7231965.274889052,15398039.95491928
1073,2923252.8980807266,10118074.40639836,5652516.902631927,29209780.013637196,20277888.20558526,14122850.163275259,36480439.15402929,1734236.0,1274737.2243496105,52037731.01395786,30955151.39746952,10875944.721807562,90281236.95622154,8106814.827493693
10746,1076798.679364645,100284.29290022065,384778.6151265733,471314.1778389067,660313.6144120556,184310.2443361466,176854.04656078425,1681932.0,463727.79807687283,2501276.0,1100415.0,1356619.9198897085,157067.46647386625,659655.2069934554
10777,156405494.60774168,73704549.76715761,151059921.8751039,99253581.5365462,102742873.32350206,191357803.8036138,179749800.30186272,209658753.71006456,173853965.07935464,370558765.3046957,98246011.67157148,175797124.34294397,35987739.7676538,41049394.444981486
10812,4564346.860743921,1621472.208751173,2236254.6138926228,4118507.0,2561521.867864473,4682827.169925184,5816960.7273717625,966558.0951263873,2737721.5893629054,1179931.1030608027,1668130.1721665422,12607386.617848175,2618409.394660272,468677.7271203367
10823,1672803.28655949,1543974.1205279743,6407851.948244321,3646071.2776001976,5950415.205991884,2615389.3751694695,3695842.001124763,1068485.0,1552861.3925602587,2517661.613049064,1449638.339703116,6245287.77734662,1178053.0380675157,4096506.9388236124
10825,198672384.06951258,1181562.835598956,195176420.88094616,4786218.812292099,4899620.278351312,3524889.9280624986,2738876.6164450673,3495808.8827962363,1477576.0958023658,4960672.0437426735,3118060.752731066,19416293.831919838,2681725.4194951123,1916105.1576796686
10837,1893935775.4944265,579797417.7522004,2765025562.4856153,198809570.49258772,193358156.62445968,417942426.93807745,504799597.4112523,146143582.78141254,126280351.61320539,202633078.9738782,137344450.45747277,1184043444.5555694,220243165.15821528,1083107887.029863
10852,143672634.84956637,64226303.84112179,98283488.12281545,59630545.63236857,75767148.55929083,83515586.69353653,101154032.23931925,49527386.850608505,36731262.66747134,59161641.08142088,44806620.437276185,239197684.10621852,41915359.06017245,26998513.121962763
10860,239796049.38368598,32421664.396423176,153239263.50062054,33941620.74113666,86510120.67137009,34071581.41632533,35896075.27619479,46285251.12062099,32071350.063326776,116791909.51876217,38450273.49095062,156493440.87003475,41701315.8628973,23267807.70019035
10867,1925225040.5835478,223825273.94648382,1739884542.6338,613116124.0501707,550316436.4793097,356032498.94410187,401515531.4050646,1087295830.17029,667506869.2361295,1099599088.171883,1028820974.2603052,1149244714.701299,294885218.7301664,190874070.4862773
10875,211570519.88501894,50347230.97683148,261957090.32863224,39700899.08196316,40147807.22342365,185400098.0734336,65360776.544273674,202289989.4834364,32038789.709522877,185491459.35885665,177186089.7446301,287025567.6504507,46739064.971847065,39723452.41763493
10890,67932988.12102154,12373788.437713563,371608684.15951264,10622851.63263449,13813683.524250679,17906677.138688907,5715570.364253766,18982323.699756447,17314062.73944425,14780280.674633991,32548491.49558859,61050439.487376094,11853075.899691308,3639263.798530277
10891,1068690142.6304756,246678202.02491063,1024278045.5531191,190274235.07851565,186992477.18780813,198378625.07416108,151540380.2664167,195044665.20221758,107038615.47796825,191118896.21880046,153359367.85988125,855778524.5331995,212189590.15471262,87934180.2716574
109,1715389916.238266,822073358.2509104,1403696515.978767,724774874.0010023,489984676.8212899,572589188.1271565,669802038.1126614,218186437.86486027,199500116.94145244,1134183450.701633,950731102.7781087,1919150561.8570905,666012042.6596938,323425076.92980576
10908,165347938.54696915,74179070.99897018,125369954.0845792,35022508.187271096,38974852.69282158,36795254.153639644,60690532.638316855,22894638.221906025,28425211.877510656,33158310.44624835,48789482.077348396,110458366.52059121,47348682.68055939,58423125.13106683
10912,743038688.3644674,214448136.01879084,1063505715.4413995,185164514.10941777,179358936.27041107,258133178.52080962,244252218.469509,309595168.1324139,182818989.60348943,366244241.933401,256221679.64358497,601618150.6482043,149817058.22101983,140458625.72804773
10919,195615665.25974613,40722274.69048767,302253918.96797395,35637126.96120158,54431503.17416635,50309208.70847208,46478909.92323369,50380495.785462156,53957290.44822626,63134385.807715036,57126577.60843848,497070360.0405551,76906126.32840763,39848186.43130153
