ClusterID,NORM_INTENSITY1,NORM_INTENSITY2,NORM_INTENSITY3,NORM_INTENSITY4,NORM_INTENSITY5,NORM_INTENSITY6,NORM_INTENSITY7,NORM_INTENSITY8,NORM_INTENSITY9,NORM_INTENSITY10,NORM_INTENSITY11,NORM_INTENSITY12,NORM_INTENSITY13,NORM_INTENSITY14,NORM_INTENSITY15,NORM_INTENSITY16,NORM_INTENSITY17
10003,227747134.97224241,270240976.0455858,146467587.53964928,191676109.75529772,159414227.6941854,217897990.34960878,265660352.35208955,191337479.58021566,349791376.699785,190889571.89887276,175659591.2423696,196884350.58067808,170112694.26681346,393643835.28014827,247832779.9809751,131823587.78148717,169162742.53942865
10010,45263393.890569255,33349309.57446613,54791309.515287995,50396033.81268298,92520377.77375573,39888138.835237294,79302929.9905001,26887111.305661492,82591601.99085881,32958481.838695567,49249384.025657006,23492483.097337633,22121371.718600303,20940868.27238845,77450298.52234027,29728554.635068044,61760237.04266286
10017,17535416.18824197,8359951.706922116,5893618.8183457125,121479038.15794158,21131280.79157599,55140955.38806884,60468314.554478556,12745803.596583053,58723579.58387189,17401494.42618915,3751098.2299540886,29290462.05263808,11222573.68286743,2756191.12112662,22363447.532611914,13338012.098164108,16810678.783902675
10030,544060908.0496581,517237581.27485013,640153306.779941,594343338.2715663,521383883.93736446,653033465.0350616,1093230629.9990005,403005422.912483,1190237774.8699698,684938012.048972,198499831.4318361,377086371.4347698,607134513.9012506,343924062.73499644,661871740.7072514,1219193381.5568547,789754796.1771854
10059,18855347.21643096,11846776.743757375,12298377.991785957,15983337.418993777,20994837.50619384,13226971.966509625,30873115.435911622,12929241.010437958,23161174.099966947,26420964.33738129,39644723.69737105,50760602.86383559,57572736.4566335,149615297.59813964,180844134.01622552,93450708.75187872,28282533.76176246
10083,14545721.715657815,12341039.95997148,26572573.95408376,36600174.68011334,34962253.91647345,22407000.59404241,53478681.32055365,28933360.54172337,49410453.42268485,17710013.75274916,54975065.57722371,7586296.153808892,11034905.846284129,138461267.89952707,160461894.2530018,11321633.687608678,14829072.445473308
10093,817614.2099638134,19936222.436239086,23895769.140117697,65654290.6529022,28744034.301903524,5776052.3891496565,45572857.0672219,150233493.61675557,26391728.52745886,55446062.74735651,36298444.43261488,30141316.20170062,342001684.2260195,723067539.2077826,749978613.6056602,453439983.45502007,32167093.817337032
1010,467975695.530123,363047022.73329085,213902755.99370128,319201081.36703825,391248594.55332154,11169753.692350736,323811793.17801756,6596838.673809947,379737469.05426836,288804540.4530207,7944804.984295418,291742622.56973946,583573.8748545795,16314564.59546409,20705640.35086454,12616616.090821365,73068227.06092338
10102,39422512.23263394,39290168.65433183,13588066.886605501,38441788.78926137,19646670.595089827,40713675.19377516,24824923.59154946,7266477.694337735,18873383.16798297,26672256.12946911,8752604.308215018,22634035.681069512,9561748.249646248,78039941.80426547,28398036.737202663,9114207.325284567,7801544.4456435125
10108,498244768.46483326,326594953.574969,214571424.78904805,384708418.41527367,66685158.47234779,130131406.61821745,315105383.55597264,229550853.6413847,293531567.92101085,674823297.9160159,81229385.48328467,426593712.8590726,121331002.51297797,131348354.57220457,206741047.24844652,1952497585.2539256,101495101.11883849
10112,7227570.843019467,8987799.53015839,11597523.424087755,3445893.328910926,1676624.321088509,7188946.242264651,4490481.953416573,4635440.085093485,3033819.9664466474,6484743.849129183,10573925.119898172,4137541.082687293,5061473.893159719,8604194.50004967,27492399.684778027,10488499.16848418,2720789.9556102133
1013,12484928.49279539,12638605.793510132,39430446.3980388,12792080.103442213,25879850.41486203,40515178.33455932,22563981.93313701,42593730.71437603,27382339.59626697,15952022.161306122,41868105.451345734,27870217.11008906,32848009.271244273,104739353.38248876,41155954.344785236,32904992.729061455,28616341.488570902
10190,19008595.439974286,40249057.13096215,14088783.605903836,31595685.1253885,24718173.16003149,17484266.34988027,29406202.48309585,9198257.502522847,19407142.738515776,30773287.36522016,9247598.746395495,26564179.148028504,52211322.49399292,71005599.15086941,50014895.21446602,43313686.95662202,16463513.31120859
10209,51096996.47890575,2034136.2494962343,34138362.19531455,69725248.31703041,110141303.59256776,46624774.884617195,92159440.26671734,66306649.35927737,98360258.14160724,35583171.06309854,1371420.6640393012,41465235.84833849,9827856.018283226,26311590.593474198,623522.0265481592,7063153.09517982,40454339.91081562
10213,89086885.90520021,49827644.689392395,208617975.671239,83712706.45135763,78359558.31911884,299196134.2975308,74081015.58035864,124216217.10693547,44492411.71189985,45402992.607834995,409370733.0831972,54603096.03161844,152529056.2505759,219129462.61120853,219163154.12748078,418151351.27656937,90761558.62970635
10216,508839294.5156735,560289774.5241095,321338998.77822095,213136811.71439293,446427542.4074928,328440248.9850484,157704664.7280153,429213806.48372936,313965322.100823,456248872.22067374,998870582.995118,617995209.1157839,370447150.32544345,796907664.9183891,650897138.0797411,521307839.892026,400397727.53121287
10231,2799439.7372705787,4912387.982568081,1762527.2046700919,1947427.1260530367,8731858.495035585,3450795.044903652,9543444.30814888,2144212.375793617,1839591.7785891984,9062634.7027567,975660.7069446025,10236012.316757642,864959.1254097549,2565818.651105972,3188031.361120338,5465991.472066987,10388815.368606497
10239,797152279.5551746,296997196.51138324,274741652.67245245,285720369.6365597,220755261.05684784,240728061.96536446,135404638.7580624,125693463.71574692,213320064.811286,232107552.26222575,184598644.45520934,183671552.9735012,247979363.0847324,762088134.0918878,725306972.4982505,224774336.12229878,279952404.1667423
10247,503643859.36866295,970344168.2738874,597745714.4682978,1237175523.8435662,957794920.1725575,824682416.4309427,409491347.7099288,1115471740.705055,584263394.9313728,1293155312.6119764,1079834292.4615521,1576580636.1659188,611690676.9456702,571200512.3431159,877390195.0868497,1356591821.0533295,792138410.0538702
10265,2697331.950897956,12338810.635050105,17407182.011598717,18124080.87130785,31739803.47701765,13264376.39016136,41230535.756117746,10533912.03542007,17958592.20726287,4661690.768891463,854986.9283668662,7147011.804889152,9440202.09932625,2242033.548955313,7472061.326753845,18733964.079689477,12634643.53349097
10276,1586669908.463874,1300381996.883815,1428101147.556561,1723384073.2447433,2204347122.021677,1327064178.9646559,1670750197.3170557,519807607.4250973,1601525330.6018949,785605975.9191365,685499029.1549666,1006144582.6556616,1439611118.554716,967207323.3096062,1446525517.1427984,1948294438.2067027,1337691429.694845
10281,58492517.57890914,86106096.32491498,61102615.11086412,137696793.75373438,78636931.84161542,64021191.71322554,92274256.14334424,27095937.832001355,78987660.58979344,77360893.82688841,2575909846.0836835,81741218.08283184,1139983811.8326135,2989966278.1353283,1354878001.4992392,1928923359.1839583,92708983.24355373
10287,251748600.16258094,135107275.14678577,172781008.13940763,240519900.7667149,341972657.13493246,189523078.4624726,270113515.2675966,154538429.06185615,274341453.0344746,101605638.2025607,605750241.6383473,169549513.72000828,107897827.47894454,591047040.1772012,466612120.09273523,294648552.5036907,143615758.67993176
10290,194732138.77287808,221999911.86001796,307578503.00291723,309771279.2456412,571585158.7892323,336607646.1978945,392087025.0554869,346933819.4568582,364042783.5088679,307421341.38584244,306393768.4629068,342432994.17790705,311682147.0913886,439628374.1309205,381186422.74117464,866982961.5073205,327346726.4181647
10293,94782010.5043473,83842853.00051537,98703325.74475165,96895241.6636821,48962476.72711687,100184383.81102252,104138371.8928116,75061909.11662641,42754067.898058645,69019244.57819542,145938048.14929953,84484960.31618308,151920204.21077016,117845076.02785543,124723721.01912753,165154502.71703672,89234141.2249581
1030,1044598.9157487073,43109.418542583255,46049.26268613234,9069253.795150569,135328.17544809965,27358.79398688334,135817.92658214638,3389649.651364247,17469229.165376127,66402.95171964141,38941553.2655372,57387.7051480918,5285856.83406093,50514623.86849596,18071384.38170107,6308718.329376471,188108.99519098288
10317,231503033.90019485,936749288.3538047,778266217.5863622,751809086.4603201,392170615.514125,230512003.96870506,909501672.5660158,714707670.6855743,272574869.4398585,356276141.87546736,921987406.7225599,422617661.87479347,337199848.8046368,203166953.10351124,321507859.735549,376917341.70721275,355676841.69378304
1032,10271016.516465336,941699.6472443525,1760442.810296144,2766904.0808356036,4917639.447402505,5527530.493924078,10402053.372355143,2599191.358590548,3664174.8792626155,370316.4969445296,0.0,56989.35961765616,26426048.799011942,1278444.5609127693,3899691.3128445563,49659356.459314406,44279.30714253513
10326,105465423.05688064,39124091.19129026,67204466.83650441,79301850.97390442,207826406.4874255,54717020.42564569,130247373.38905382,37559959.01759045,123578850.3408428,95867841.9932161,15284985.807897558,102454233.51266369,160043717.5493698,84882044.38156605,14365808.80293578,30026713.56628034,139348271.72494528
10349,23498988.974895284,17288265.572435904,20079241.14214997,24613899.586778447,24110347.641431537,24421561.837569926,22247946.81853846,21688950.29643341,26556705.730163574,17083542.99112822,3364248.5584530598,7289386.2064729,13336587.892617308,7528163.065068002,16483522.144132167,15929221.377393477,19309931.48881404
10350,4611389935.245429,5295455577.546098,4615121434.73653,3549520185.31472,1781270490.141887,4738764933.6041975,2647645831.267126,3475153437.0796933,2010665493.5868726,3755677824.922196,1839733237.729572,2969410735.862305,1237460359.5844808,641870327.6855341,1028787416.7028933,1192825466.870796,3061539775.5460443
10359,7018834.585559925,3416685.270598389,37288425.84158158,41562093.38637049,24045980.962943368,5730943.750603927,7432013.2332858285,8171174.233079459,2129059.3104997585,26217641.916173626,5375832.473341119,11479235.302510435,7525293.133635782,7330637.623768302,40843694.79227046,34019587.11902179,10291976.018276919
10389,98044506.90422411,47373357.4353441,66836646.67325035,84476337.60332948,111541342.01214282,85440938.9108477,134055925.82233799,40266424.334891126,202901700.00005108,72515926.64804891,106213758.21339469,86120050.8074317,97823752.82223919,196046017.55584642,59491279.407707855,110104043.96089804,43290460.804565355
1040,165751207.83197328,159819660.97796258,27232244.96454257,223599382.44191107,5758208.432296327,24584870.851215314,434630775.8114073,17472123.781569976,7105764.67890298,188577043.45164198,22508259.07167849,218051302.94638813,31940611.51500863,46169796.7562735,17747825.35979724,17376428.675536875,180421764.37817633
1041,9360505.545629498,16463097.712814601,6644986.814551876,23941724.979512736,26084523.58855754,17295945.432289578,29635951.372511204,35024932.26223205,15846378.080217026,10158530.332159761,10939572.090529688,15040063.525722565,18877650.524169,5701663.378049038,785666.3556739768,13258178.217880093,26038880.82428768
10423,86419450.81707932,27886480.963602763,23562405.92404243,25651291.221574128,63150288.37895293,12670429.72200721,63056388.05454005,4660339.495379117,57125316.252288066,55954023.39488509,67159920.59527317,75338109.44019148,69707691.0606674,39429312.23982287,51222816.82617222,47348778.266561985,98188356.06287141
10429,8558194.577733846,71965086.97587617,2729947.3390891487,60596380.482622646,11633387.74594576,4302684.137573119,89457390.10806891,12478674.255684696,9575870.232916102,272561286.35297,426268366.571555,289322588.5621976,11793535.468284516,839073573.91952,301176415.2565049,12493896.154061114,9555744.558250435
10454,65010121.82104692,61033524.40862954,50670804.385325,88524480.74478684,71919822.47765985,15379669.06705005,70738815.95898744,28353940.341239,67448513.64664169,135976870.04760188,6227090.051697996,110577562.19438231,76497236.6065917,16068483.735828096,48829682.72526191,56492460.252574876,77683110.15592788
10526,44609861.57725797,28840094.708918147,71326780.93185768,266875196.25260127,65623878.45018287,19654855.58957866,45670516.23208219,244378967.16963103,216143527.75714207,51450724.05517174,69669345.63400272,45574465.31061944,141119920.10455847,44073267.28161979,216559629.0191012,153642215.40240794,46653441.91120435
10534,162147051.89411074,54157424.341436185,126883236.07318632,291125904.96275353,296847043.28180104,131458347.57976696,161596620.58207226,714352292.040216,125184212.69986191,439604641.7427564,107617412.8586275,203261895.7711995,538049328.8121982,207398383.11433497,217636307.7510006,159517502.8486722,276053959.1213155
10548,8070660.808953071,1390342.6467811153,9870411.208464002,1768244.9391694502,10956593.340600777,12064032.316524561,2524161.5909252134,3259662.474002027,40710869.15962509,3506263.3556438335,7045933.310176081,8671188.444407811,1738719.2351455959,247722.12503299396,657374.2452604052,1485912.3152446111,8771656.059652634
10554,638221673.5913996,243495881.50599292,155981063.7060836,158958842.74668205,304740819.9045589,146029342.8275446,492150726.0264379,212322157.9750856,461495359.8933227,317745139.2082189,185445227.3515803,441482889.29105204,230273921.8524264,299031612.1471481,300868035.4718097,590806572.9734343,337037940.71671426
