ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
12270,2.2324465420917307e-4,36631597.36362699,6456422.950379537,0.17625283675973094,0.07951558380704576
1414,6.789565863657059e-4,67936450.41795893,35454083.58688183,0.5218712983790155,0.07951558380704576
14147,0.0010160094295628634,785804204.7908531,305987066.6719668,0.389393521702276,0.07951558380704576
14355,5.105645202781867e-4,106951023.33867243,57761821.54759631,0.5400773152463162,0.07951558380704576
14458,0.0013101807327879674,18054402158.174896,26220275879.061672,1.452292667979002,0.07951558380704576
14713,0.0011545326985640588,299092681.8925516,161684809.43106696,0.5405843045305665,0.07951558380704576
149,1.9072916023556356e-4,95031847.43455853,28399572.9013359,0.2988426897718957,0.07951558380704576
14968,9.536448217082647e-4,63777911.506072104,32134889.90472246,0.5038561023068777,0.07951558380704576
15153,0.0012942301589573576,51143890.14855576,89375627.23006976,1.747532832767779,0.07951558380704576
16033,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.07951558380704576
16122,1.1552884081043066e-4,99387687.10744606,35551400.09634885,0.3577042703279224,0.07951558380704576
18323,9.294351057094393e-4,179797347.5002168,60548301.20068257,0.3367585898374255,0.07951558380704576
18386,5.17191324104276e-4,33941752.390616365,7789333.403354408,0.22949119755843456,0.07951558380704576
18497,7.107172564331538e-4,798947084.5988396,339694337.44680977,0.42517751675303267,0.07951558380704576
18600,5.076774864768741e-4,137940829.64965785,68387177.8822852,0.4957718324297089,0.07951558380704576
19290,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.07951558380704576
2648,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.07951558380704576
3390,7.057600084153056e-4,590387427.3769871,90563191.64040463,0.15339620635684073,0.07951558380704576
5494,4.238837796816313e-4,1802853333.8177164,1180728072.5892632,0.6549218677089818,0.07951558380704576
5913,0.0012145439393883497,156993645.50962865,40822553.32486591,0.26002678765977316,0.07951558380704576
61,7.975814868254915e-4,291827216.85841215,89724928.97634059,0.30745908466746286,0.07951558380704576
64,0.001431150854617559,28647237.719885465,5946024.474481952,0.20756013311379487,0.07951558380704576
8973,7.529039036996814e-4,73141330.4529959,20134372.848982535,0.2752803746429229,0.07951558380704576
1439,0.0016535005263454668,25280880.47385226,9265499.874186005,0.3665022618088485,0.08708436105419458
16765,0.0019737304907323674,95455781.83093616,29820791.407576982,0.31240424451599214,0.08909983358163259
57,0.0018712326213651937,59342505.291548274,22211992.552026033,0.37430156416381577,0.08909983358163259
6830,0.0018859734432939718,95784079.36713175,58684329.61055414,0.6126731080811706,0.08909983358163259
9451,0.0019134626710339971,680527919.4889812,525322238.70920944,0.7719334117896028,0.08909983358163259
14346,0.00216843597066408,328237505.2655636,854480200.4291327,2.6032375542758515,0.08959258040773649
18968,0.002116702309873155,54544238.035060585,29296407.01277143,0.5371127742941416,0.08959258040773649
7025,0.002197286386582145,565949223.1369381,253429358.5459716,0.44779522293760865,0.08959258040773649
10097,0.0029828150415820817,42744539.0848424,17006932.809826754,0.39787381438527586,0.10312316102796905
1451,0.003544940875938781,478771550.0484289,84596118.48181929,0.17669412159778958,0.10312316102796905
15951,0.0032742113621891875,25110724.90617832,8940453.034374913,0.35604121616477813,0.10312316102796905
3180,0.0028062302936095068,23853790.11862016,7082303.06614833,0.29690472796689515,0.10312316102796905
4105,0.003129289052913171,52243832.25268979,102815165.89535655,1.96798667827556,0.10312316102796905
4756,0.003544381792945961,3137471.509910323,1130497.773469168,0.36032128734819346,0.10312316102796905
500,0.003354649232849327,436501103.6891745,14281148.93985111,0.03271732607123141,0.10312316102796905
538,0.0033089414568386226,14846091.124131199,5106922.789126302,0.343991071213714,0.10312316102796905
5597,0.0034689717291588374,252057928.798844,85670704.06163523,0.33988497989287664,0.10312316102796905
7839,0.0035897302889482895,14671964.46913599,27612241.93099658,1.8819730642806431,0.10312316102796905
8510,0.0027945144200231674,207560567.24764875,288064518.88091624,1.3878576393425204,0.10312316102796905
8553,0.0028204540156874028,22722878.622266278,12540575.465509897,0.5518920236286134,0.10312316102796905
8929,0.003162710285992582,4641809.334298143,939104.8046069166,0.20231438582966105,0.10312316102796905
7145,0.004010374893996639,64062589.90552947,15659239.806277154,0.24443657100609273,0.11264697480026113
19168,0.004143298734578775,91961722.78143287,25328707.994942132,0.2754266365272576,0.11385064348929504
10882,0.0044115575989568095,65504577.83476653,100086915.94705321,1.5279377297800416,0.11731683423513953
19298,0.00445506965449897,35705833.57875175,27466001.60131399,0.7692300906723204,0.11731683423513953
8554,0.004710418745319611,3636109702.0580616,1965913143.1129777,0.54066386995977,0.12150957743028547
17828,0.0048263545000523725,45801512.91720767,25921295.398963798,0.5659484534019649,0.12201024176132398
19315,0.005138964692103765,17130750.162322823,46387766.76739537,2.7078654657762797,0.12342423791656194
7540,0.005154539302208689,598668155.6446631,380128463.4446658,0.6349568786322575,0.12342423791656194
8948,0.005175225165805208,436373826.77098894,303580749.16524523,0.6956896370518708,0.12342423791656194
20035,0.005278781937505582,8633075.516416427,3524640.8164431206,0.40827174623235457,0.12356259942605659
12562,0.005772187845758201,28266343.547725007,11766210.10548519,0.41626219130957187,0.12729326546560996
15596,0.005766629412996583,3010259480.722988,1449830217.5698793,0.48162964915624706,0.12729326546560996
6533,0.005699447926648983,44852145.258609325,294780836.73420846,6.572279542807946,0.12729326546560996
