ClusterID,p_value,control_mean,treatment_mean,foldchange,padj,cluster_representative
4211,3.1899118411280205e-05,120043143.70602089,62463660.43950456,0.5203434241315327,0.04280861690793804,Q7TPR4
17039,0.0002232446542091731,36631597.36362699,6456422.950379537,0.17625283675973094,0.05991886518974205,Q9EST5-2
194,0.0001907291602355636,95031847.43455853,28399572.901335903,0.2988426897718957,0.05991886518974205,Q8CHI8
24274,0.00011552884081043066,99387687.10744606,35551400.09634885,0.3577042703279224,0.05991886518974205,Q8R2M0
30574,0.000160369461289532,79205328.59852567,23959765.72965589,0.3025019421496584,0.05991886518974205,A0A075B5L2
11731,0.0007576729402384925,1526591191.8023136,748464750.8522402,0.490284992387905,0.06296202090116526,Q63836
12317,0.0007529039036996814,73141330.45299591,20134372.84898253,0.2752803746429229,0.06296202090116526,Q9D2G2
1915,0.0006789565863657059,67936450.41795893,35454083.58688183,0.5218712983790155,0.06296202090116526,G3UY93
20432,0.00040733223767520037,30761602.30990361,15293622.004065147,0.49716597497073206,0.06296202090116526,P70677
20896,0.0005105645202781868,106951023.33867244,57761821.54759631,0.5400773152463162,0.06296202090116526,Q9D172
21075,0.00036543915495179885,32951385.38968089,15943906.887440706,0.4838615038150634,0.06296202090116526,P62702
29479,0.0005171913241042759,33941752.390616365,7789333.403354407,0.22949119755843456,0.06296202090116526,Q642K5
29729,0.0005572996014434692,405786299.878234,208274745.37674823,0.5132621417707945,0.06296202090116526,P01727
29957,0.0007966997498457107,44778299.60118882,23315192.71647268,0.5206806181593747,0.06296202090116526,P70349
34543,0.0004256792075314206,23635140.965180654,8987380.212537767,0.3802549866648985,0.06296202090116526,D6RJJ3
4661,0.0007057600084153057,590387427.3769871,90563191.64040464,0.15339620635684073,0.06296202090116526,Q9DBN5
82,0.0007975814868254915,291827216.85841215,89724928.97634059,0.3074590846674629,0.06296202090116526,B1AR51
24800,0.0009074747739120369,1156354530.9402187,570988416.2800826,0.4937831789492954,0.06564746904537197,P35700
29295,0.0009294351057094393,179797347.5002168,60548301.20068257,0.3367585898374255,0.06564746904537197,Q4VWZ5
10690,0.001338920797210057,2459110.1463240464,6807214.137429068,2.7681615431519813,0.07379388884490233,P97384
