Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster0,0,3,2,0,0,0,0,0,0,0,7,5,4,5,5,0,0
Cluster1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster5,0,0,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0
Cluster6,3,2,2,0,2,0,2,2,3,3,0,2,2,0,3,2,0
Cluster7,2,3,2,3,2,2,2,3,3,2,2,3,1,2,2,2,1
Cluster8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster9,1,0,5,0,15,3,0,8,0,16,10,11,0,3,8,0,0
Cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster13,0,10,0,9,4,0,8,12,10,2,0,0,0,0,0,0,8
Cluster14,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
Cluster15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster18,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0
Cluster19,4,0,6,2,4,4,2,2,0,6,2,4,0,4,2,3,0
Cluster20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster21,0,0,0,0,4,6,0,3,0,3,6,3,0,2,3,0,0
Cluster22,8,21,8,20,14,2,15,20,20,12,2,0,2,7,2,11,18
Cluster23,3,0,3,0,0,2,0,3,0,4,3,0,0,0,0,3,0
Cluster24,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster25,23,22,14,10,15,16,17,20,16,17,18,15,11,15,28,21,18
Cluster26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster32,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
Cluster33,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster35,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Cluster36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster37,0,0,0,3,4,0,2,2,3,1,0,0,0,0,0,0,2
Cluster38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster39,39,41,32,39,33,45,36,34,40,40,39,40,31,35,41,40,39
Cluster40,14,31,8,51,71,4,48,18,20,9,6,8,13,19,5,12,31
Cluster41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster43,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Cluster44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster45,7,31,6,32,8,22,16,18,16,20,0,5,10,0,0,2,8
Cluster46,0,4,0,17,3,0,11,11,20,0,0,0,0,0,0,0,17
Cluster47,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Cluster48,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster51,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster53,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster54,0,6,0,7,5,0,10,9,15,0,0,0,0,0,0,0,8
Cluster55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster57,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster60,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster62,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster63,4,0,2,2,0,2,0,0,2,2,0,0,0,0,3,2,0
Cluster64,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster65,11,11,11,9,12,12,9,8,13,10,8,11,11,6,13,14,10
Cluster66,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster68,0,9,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0
Cluster69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster70,0,19,0,1,0,0,11,3,2,0,0,0,0,0,0,0,0
Cluster71,4,0,3,0,3,4,3,3,3,3,2,2,0,4,2,3,0
Cluster72,2,3,3,5,9,0,3,0,3,0,0,0,0,3,0,0,1
Cluster73,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster74,10,6,7,8,5,5,7,5,8,6,8,7,5,9,8,6,7
Cluster75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster77,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cluster80,7,5,6,6,5,4,6,6,6,6,6,4,5,4,6,5,5
Cluster81,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster82,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster83,6,8,9,8,10,6,3,5,7,9,9,5,9,8,10,8,9
Cluster84,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0
Cluster85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster86,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cluster89,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Cluster90,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
Cluster91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster92,0,16,0,26,6,0,21,15,31,14,0,0,0,0,0,0,14
Cluster93,14,31,14,17,5,7,16,10,14,17,14,15,18,14,13,17,21
Cluster94,4,2,4,11,4,0,8,11,10,2,0,0,0,0,2,5,7
Cluster95,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Cluster96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster97,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0
Cluster98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster99,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cluster102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster104,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Cluster105,13,27,10,22,9,20,18,16,10,16,15,15,13,29,29,14,21
Cluster106,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster109,2,9,3,6,4,2,4,1,6,1,4,2,3,0,16,5,7
Cluster110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
