Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster8,0,4,7,0,0,0,0,0,0,0,10,11,6,8,8,5,4
Cluster9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
Cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster15,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Cluster16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster18,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster33,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0
Cluster34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster43,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Cluster44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster46,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster59,4,8,0,10,5,0,9,14,9,6,0,0,0,0,0,3,11
