"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster9485",7.08056639806813,4.00756467736948,0.674047106610808,5.94552611837473,2.7557030398825e-09,1.86561095800045e-06
"Cluster345",3.94466338348074,-4.53146107146944,0.943705394506968,-4.8017751067714,1.5726525977393e-06,0.000532342904334752
"Cluster267",18.3576057691334,-1.15922484115142,0.273167126607856,-4.24364694078119,2.19916256596013e-05,0.00372208264288751
"Cluster11873",7.87134275785755,-1.83586356762478,0.428967277062487,-4.27972870144442,1.87121268699515e-05,0.00372208264288751
"Cluster10515",2.17799750161032,-4.54765046624504,1.11953964023272,-4.062071857768,4.86390991107761e-05,0.00658573401959909
"Cluster4219",2.13315404023152,-4.52233712247155,1.14078542992882,-3.96423113744864,7.3632882650917e-05,0.00830824359244513
"Cluster12699",1.79945548583412,-4.27335545220493,1.11603058885317,-3.82906659986465,0.000128630196465673,0.0124403775724658
"Cluster583",2.36722680249442,-3.74153243138443,0.989521534066924,-3.78115311549287,0.000156103622520594,0.0132102690558053
"Cluster16583",1.86765019645797,-4.32524626966251,1.15888854134984,-3.73223663478852,0.000189787083752848,0.0142762061889643
"Cluster18434",5.60524755234187,-1.92252143262419,0.545522769808407,-3.52418182892603,0.00042479263782324,0.0287584615806334
"Cluster15764",9.80529239862312,-1.4138565523256,0.413033368026037,-3.42310491542773,0.000619101770593207,0.0381028998810546
"Cluster8308",1.58362007669755,-4.09120031638215,1.22378513399112,-3.34307077504656,0.000828567646089176,0.0467450247001977
"Cluster7406",9.61387838506693,-1.12235897151354,0.340979956655858,-3.2915687553046,0.0009963025938162,0.0518843735395052
"Cluster9682",1.41929125861547,-3.91531608549113,1.20701445202536,-3.24380215905555,0.00117945637744064,0.0570351405376651
"Cluster881",22.7518873513746,-0.787612562521295,0.24644459568741,-3.19590113276536,0.00139394867884521,0.0629135503718806
"Cluster487",42.4662549540782,0.532314893068452,0.168811438932794,3.15331056019476,0.00161429967066251,0.0667615853070568
"Cluster6402",25.0772897605132,-0.684334506788666,0.217783507918313,-3.14226964810093,0.00167643567240763,0.0667615853070568
"Cluster5019",1.31261117882064,-3.81163944781771,1.22733629429668,-3.10561943416002,0.00189880921425816,0.0714163243362651
"Cluster3630",10.4176730726187,-1.15161548472906,0.377025767870743,-3.05447421069605,0.00225455397464152,0.0803333179385425
"Cluster9060",3.57528281453424,-1.97384531203764,0.665471824571893,-2.96608397103429,0.00301618125541573,0.0972359385674499
"Cluster18742",3.23951303490874,-2.23606189541246,0.753014695905566,-2.96947975593411,0.00298304466871657,0.0972359385674499
"Cluster3588",17.161853517537,0.730752356377539,0.248107488518351,2.9453055235916,0.00322635901277575,0.0992838659840537
