"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster5993",2.04723254782067,4.37981544514582,1.09077001265994,4.01534273431778,5.93594698163663e-05,0.0202415792073809
"Cluster17981",11.6943727518271,-1.32303801418203,0.321002896841759,-4.12157655647024,3.76288380688378e-05,0.0202415792073809
"Cluster3444",3.25227822838278,3.17267510051346,0.853442106810539,3.71750476710165,0.000201200191457197,0.0369759043362331
"Cluster17949",8.0999582812986,-2.50350914158877,0.676896394792251,-3.698511560779,0.000216867474112804,0.0369759043362331
"Cluster1562",2.12385963461333,-3.25801492524503,0.940141711539143,-3.46545088390048,0.000529343205381246,0.0485427315278246
"Cluster4747",1.77107270551943,3.35728775521612,0.9906657327786,3.38892084800356,0.000701682618803703,0.0485427315278246
"Cluster10030",8.84058304706913,1.39348091814495,0.411662915018207,3.38500473884882,0.000711770257006226,0.0485427315278246
"Cluster10059",1.56296963007643,-3.48664646177895,1.00034689335799,-3.4854373866998,0.000491333196043915,0.0485427315278246
"Cluster11363",30.1777077590515,-0.593464920079438,0.174716822190801,-3.39672455484189,0.000681975764443457,0.0485427315278246
"Cluster24796",7.52512633623107,1.34041872901426,0.392051050420677,3.41899027582241,0.000628539726304619,0.0485427315278246
"Cluster17321",12.4118306650877,-1.00887767475724,0.301679233825786,-3.34420656656747,0.000825182711859682,0.0511613281353003
"Cluster9131",3.60498623033965,2.37054971360819,0.717127719198812,3.30561718665207,0.000947674660590373,0.0538595098768862
"Cluster3325",2.40597676471728,3.42199406101106,1.05858757594711,3.23260364920627,0.00122667626679138,0.060459067473635
"Cluster19843",1.35717026574334,3.78583313373865,1.17235191100486,3.22926341331562,0.00124109522673151,0.060459067473635
"Cluster6947",3.52416787039668,2.14845466924035,0.695546694658117,3.08887194165502,0.00200918021945404,0.0856413068542283
"Cluster9172",4.06257969294391,2.38333608437938,0.76927772094315,3.09814780734501,0.00194734278494163,0.0856413068542283
