Peptides,GO term,Name
191,GO:0006096,glycolytic process
172,GO:0005975,carbohydrate metabolic process
166,GO:0006094,gluconeogenesis
126,GO:0008152,metabolic process
112,GO:0006351,"transcription, DNA-templated"
100,GO:0022900,electron transport chain
62,GO:0006457,protein folding
57,GO:0006355,"regulation of transcription, DNA-templated"
54,GO:0006090,pyruvate metabolic process
52,GO:0045333,cellular respiration
48,GO:0006412,translation
44,GO:0006091,generation of precursor metabolites and energy
43,GO:0042026,protein refolding
41,GO:0030388,"fructose 1,6-bisphosphate metabolic process"
41,GO:0019652,lactate fermentation to propionate and acetate
39,GO:0006044,N-acetylglucosamine metabolic process
39,GO:0009097,isoleucine biosynthetic process
38,GO:0071973,bacterial-type flagellum-dependent cell motility
36,GO:0006189,'de novo' IMP biosynthetic process
32,GO:0006012,galactose metabolic process
32,GO:0006536,glutamate metabolic process
32,GO:0006007,glucose catabolic process
30,GO:0009099,valine biosynthetic process
29,GO:0006099,tricarboxylic acid cycle
24,GO:0006006,glucose metabolic process
23,GO:0055085,transmembrane transport
21,GO:0006281,DNA repair
21,GO:0006260,DNA replication
21,GO:0019594,mannitol metabolic process
18,GO:0006633,fatty acid biosynthetic process
17,GO:0019262,N-acetylneuraminate catabolic process
15,GO:0000160,phosphorelay signal transduction system
13,GO:0009058,biosynthetic process
12,GO:0006310,DNA recombination
12,GO:0006564,L-serine biosynthetic process
12,GO:0008615,pyridoxine biosynthetic process
11,GO:0051301,cell division
11,GO:0006108,malate metabolic process
10,GO:0006396,RNA processing
10,GO:0007049,cell cycle
10,GO:0007018,microtubule-based movement
9,GO:0071555,cell wall organization
8,GO:0045454,cell redox homeostasis
8,GO:0006085,acetyl-CoA biosynthetic process
8,GO:0007165,signal transduction
8,GO:0019877,diaminopimelate biosynthetic process
8,GO:0009089,lysine biosynthetic process via diaminopimelate
8,GO:0009088,threonine biosynthetic process
8,GO:0015074,DNA integration
7,GO:0006261,DNA-dependent DNA replication
7,GO:0008033,tRNA processing
7,GO:0006082,organic acid metabolic process
7,GO:0006265,DNA topological change
7,GO:0071266,'de novo' L-methionine biosynthetic process
6,GO:0008360,regulation of cell shape
6,GO:0009252,peptidoglycan biosynthetic process
6,GO:0006435,threonyl-tRNA aminoacylation
6,GO:0009082,branched-chain amino acid biosynthetic process
5,GO:0035556,intracellular signal transduction
5,GO:0006886,intracellular protein transport
5,GO:0006537,glutamate biosynthetic process
5,GO:0009086,methionine biosynthetic process
5,GO:0009432,SOS response
4,GO:0006364,rRNA processing
4,GO:0009116,nucleoside metabolic process
4,GO:0016192,vesicle-mediated transport
4,GO:0006813,potassium ion transport
4,GO:0006935,chemotaxis
4,GO:0006614,SRP-dependent cotranslational protein targeting to membrane
4,GO:0006629,lipid metabolic process
4,GO:0009401,phosphoenolpyruvate-dependent sugar phosphotransferase system
4,GO:0006979,response to oxidative stress
4,GO:0006486,protein glycosylation
4,GO:0015986,ATP synthesis coupled proton transport
4,GO:0006782,protoporphyrinogen IX biosynthetic process
4,GO:0006402,mRNA catabolic process
3,GO:0008616,queuosine biosynthetic process
3,GO:0046854,phosphatidylinositol phosphorylation
3,GO:0015846,polyamine transport
3,GO:0006865,amino acid transport
3,GO:0006139,nucleobase-containing compound metabolic process
3,GO:0009236,cobalamin biosynthetic process
3,GO:0000272,polysaccharide catabolic process
3,GO:0006541,glutamine metabolic process
3,GO:0045892,"negative regulation of transcription, DNA-templated"
3,GO:0035999,tetrahydrofolate interconversion
3,GO:0009435,NAD biosynthetic process
3,GO:0016042,lipid catabolic process
3,GO:0006353,"DNA-templated transcription, termination"
3,GO:0019551,glutamate catabolic process to 2-oxoglutarate
3,GO:0007059,chromosome segregation
3,GO:0015891,siderophore transport
3,GO:0000162,tryptophan biosynthetic process
3,GO:0006826,iron ion transport
3,GO:0016114,terpenoid biosynthetic process
3,GO:0006662,glycerol ether metabolic process
3,GO:0006520,cellular amino acid metabolic process
3,GO:0016573,histone acetylation
3,GO:0006164,purine nucleotide biosynthetic process
2,GO:0019464,glycine decarboxylation via glycine cleavage system
2,GO:0006790,sulfur compound metabolic process
2,GO:0019305,dTDP-rhamnose biosynthetic process
2,GO:0009853,photorespiration
2,GO:0019253,reductive pentose-phosphate cycle
2,GO:0015937,coenzyme A biosynthetic process
2,GO:0001732,formation of cytoplasmic translation initiation complex
2,GO:0006605,protein targeting
2,GO:0065002,intracellular protein transmembrane transport
2,GO:0006807,nitrogen compound metabolic process
2,GO:0005978,glycogen biosynthetic process
2,GO:0007155,cell adhesion
2,GO:0000105,histidine biosynthetic process
2,GO:0008643,carbohydrate transport
2,GO:0030001,metal ion transport
2,GO:0006432,phenylalanyl-tRNA aminoacylation
2,GO:0002098,tRNA wobble uridine modification
2,GO:0034227,tRNA thio-modification
2,GO:0005993,trehalose catabolic process
2,GO:0006298,mismatch repair
2,GO:0005980,glycogen catabolic process
2,GO:0043087,regulation of GTPase activity
2,GO:0006011,UDP-glucose metabolic process
2,GO:0006438,valyl-tRNA aminoacylation
2,GO:0006419,alanyl-tRNA aminoacylation
2,GO:0006397,mRNA processing
