ACCESSION,DESCRIPTION,NORM_INTENSITY_1,NORM_INTENSITY_2,NORM_INTENSITY_3,NORM_INTENSITY_4,NORM_INTENSITY_5,NORM_INTENSITY_6,NORM_INTENSITY_7,NORM_INTENSITY_8,NORM_INTENSITY_9,NORM_INTENSITY_10,NORM_INTENSITY_11,NORM_INTENSITY_12,NORM_INTENSITY_13,NORM_INTENSITY_14,NORM_INTENSITY_15,NORM_INTENSITY_16,NORM_INTENSITY_17
A0A0G2JFQ0,"Aldehyde dehydrogenase, mitochondrial (Fragment) OS=Mus musculus OX=10090 GN=Aldh2 PE=1 SV=1 ",105420740,59808639,97792618,87242512,305297712,129305488,82284330,58320562,100158661,204301010,143829229,1104968268,146140106,67774668,130559138,153640261,76117581
Q8BV79,TPR and ankyrin repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Trank1 PE=2 SV=3 ,226242436,220226227,205872431,280959068,133927178,178819853,256514957,408143577,261384882,536779504,411653611,328069282,184969303,608919962,195934166,883730561,121555968
P07310,Creatine kinase M-type OS=Mus musculus OX=10090 GN=Ckm PE=1 SV=1 ,170333627,268748315,156521960,331411032,295000145,57529340,361249094,195935019,275025105,280556708,38673958,320780026,29830984,71729684,49970504,85005672,173952011
A0A1Y7VMA0,Ribosyldihydronicotinamide dehydrogenase [quinone] (Fragment) OS=Mus musculus OX=10090 GN=Nqo2 PE=1 SV=1 ,35405507,41263916,36600043,60144216,85741712,29598217,51773350,40186871,43754287,55205643,56543202,48179512,7987933,153485037,17898736,17865761,17924047
A0A1W2P7Z3,Ubiquitin-conjugating enzyme E2 N OS=Mus musculus OX=10090 GN=Ube2n PE=1 SV=1 ,15270327,12477417,20258933,45587731,45657449,26161093,33403742,5731818,32202240,9593830,1561939,19694588,2720790,1436304,1709527,2890532,10244700
D3YZU5,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1 ,70248771,116869215,86120018,112841548,157112771,63327342,128989603,32200022,121585334,89430749,14132045,74565392,62476436,16593639,46056028,32874172,139892129
P24270,Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4 ,141095522,156281629,203153996,144034704,336600355,132728618,77933421,143751994,164640672,97605519,122032946,150603363,230443817,118074876,155222482,165953669,141605222
D3YZU4,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1 ,70248771,116869215,86120018,112841548,157112771,63327342,128989603,32200022,121585334,89430749,14132045,74565392,62476436,16593639,46056028,32874172,139892129
A0A0U1RNK9,Electron transfer flavoprotein subunit beta (Fragment) OS=Mus musculus OX=10090 GN=Etfb PE=1 SV=2 ,38954776,25954869,38121544,63110387,57516848,65323550,37995933,37457074,28868315,60066331,22485701,36494626,39998787,14821862,17500507,15396903,37446726
A0A0N4SW56,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus OX=10090 GN=Aldh1l1 PE=1 SV=1 ,62790381,41391355,67263276,76356284,194842069,86564288,107888876,101645363,123920861,73654354,315498850,55820696,180335691,334797414,16100899,132576446,94281274
