ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14,INTENSITY_15,INTENSITY_16,INTENSITY_17
0,281547789.7166114,128644353.95648089,103767394.87671855,96038460.9737156,2684568205.136635,108728529.50499259,1240435695.130342,33828800.106089555,1619864886.4836211,166907032.81061298,1227882177.7101657,171100813.35779473,1001725194.167505,686702745.8459566,1555754432.0037267,1837616311.4122515,502637870.4017686
100,398801081.97895086,534899903.7682422,284328057.7290196,324233205.29261166,2247937865.5698776,273927149.2822433,1457759806.5020356,539939772.146634,2713770788.944845,360364616.1286871,1063606110.2540256,307688645.6241998,1764498738.7193584,836239794.2453034,1990643930.1325262,2881558079.538276,426290497.00616586
10007,20662565.003686555,13497174.650476415,15023100.93696571,14027651.563182006,204876927.54306966,17822167.482585188,72610153.79407105,9643901.683071207,157560108.12209865,28719606.241293162,1701775910.3468263,17936891.614761665,1314565143.995093,2226503447.582098,2142801846.563543,1500894780.6427677,32376942.875368826
1001,10727277.60506244,27373856.9483236,20281570.808062095,38361927.1611947,15266448.0,24201860.6836188,66891907.91141891,406204.36670769146,46547408.45102076,16949742.04662331,2558817.2846665895,9508989.827698044,45850529.4480388,3782387.757938588,60550619.9578434,101716883.50370513,4308818.510611771
10014,12037077.310813496,31282297.68667295,11111215.018508516,11723658.658905804,201751408.05551738,17259927.809944775,227701034.7521745,6111654.005381637,190907217.98412699,45031228.74321203,15684376.016502485,43239115.48286724,45093080.34630657,18663175.652761515,61774031.82580793,82144751.00033353,51556529.42060159
10016,6324107.543740718,2135273.9254309903,2673062.412297434,2679591.399118375,32088341.893635564,2253866.494278046,20806626.39316537,1021420.5810373953,16628384.14724701,1527048.4189957173,4177890.061185877,1624881.496379938,9679930.484651284,3456288.763386752,7558661.377703832,12539954.103674917,7843523.063849869
1004,624425878.5216863,435117291.8076343,661364580.3642511,112166016.34060189,3056014308.4301534,191182202.67909348,2153024656.8276043,35186376.69433391,1400335973.5161028,444288870.2160778,481502081.4121353,546263378.5653349,958100986.7489023,570287093.6609154,648123018.5915554,1073793467.0353694,489419432.04372174
10051,35458835.27900314,33309656.31760957,617805117.4039168,862262076.3658007,3354870274.324896,441962712.882871,3466768898.227251,1306694775.475806,4056336610.1503687,56429892.06529128,762187090.8263835,82473894.75026177,355150749.87769014,358645559.46538913,887557695.0470393,530975020.50658405,157351001.37683818
1009,117783728.08628082,93464902.77121858,82526463.97953755,85600783.01803799,507790954.1496358,131972260.08270271,426043119.2849599,43924228.55508319,1038053251.4035536,53423168.23856926,495018880.137728,106409155.74953979,559290190.5158194,242831209.55020434,872540461.0135307,621539114.2759031,77639862.06462151
10093,12550327.480922606,9355770.064617025,9322810.383533476,5014007.4695413085,44911089.628694564,10281662.444158003,19638976.277785882,4541534.91860641,43655112.25725099,9101809.03501547,10004954.722595733,5274020.0,3545159.762688077,39250945.654627465,54369689.66998502,20680497.457270816,5961309.1026190845
10097,7532284.403180066,18223070.205576267,12360154.355222404,29654789.22311513,140203096.53566575,5117923.0,87518911.3001336,3082998.598002919,82970687.5555427,17333485.565097574,4493265.544526604,7532519.877946716,12116800.44354276,7351243.688453562,11903862.026087068,8177430.32496623,12051985.64708321
