name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,treatment_8,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
0,22.864700589582895,22.551639270752002,24.1874019148587,23.797709411212697,23.965987941773,25.4236582161867,22.617070125623304,22.4763313892594,24.566399421483602,26.3276551886726,26.6218624130937,24.392757696695103,25.370431266051998,25.273596821364897,25.3825016016821,25.1461116256473,26.0132752796533,0,0,0.90539129666425,3.0153459474993394,1.96036862208179,0.45306059476077204,0.000793091759574686,False,False,sp|Q6PZE0|MUC19_MOUSE
10029,20.634652431480102,22.0031826375002,20.8634565766256,22.718034664607895,21.986561829387302,20.960560567212,20.3116030964253,19.0979806629976,23.346596240209603,23.288609839880298,22.071389363345,24.5628317839146,23.806334655121198,24.727396441845602,25.0378026346515,22.7821581924579,23.959836332971395,10029,10029,1.23943399779116,3.6701827673789,2.4548083825850298,0.370886996051061,0.000340757359687577,False,False,WP_066465978.1
10070,21.9245011969935,22.1595831276086,22.941405873621303,21.4346343354932,21.9559613034984,20.4313323240712,21.5780681232693,23.202336695199598,19.549502676038898,20.657664739971302,21.2919187981358,21.9078643766308,21.5189273189707,19.8968925954833,23.862054619559302,21.8813929460955,22.5879521283846,10070,10070,-1.1926363195316,1.2210641657185501,0.0142139230934752,0.955582974951605,0.980814245312047,False,False,WP_016299106.1
10123,19.9744594044375,20.8435944726097,20.385796061628803,22.801728288340396,21.1249650055261,19.0349198339378,21.4420611567244,22.514662050726,21.5327197533571,21.963408716167102,18.2204964185766,17.6581138341687,20.1834706188966,20.1811995828707,20.3990953477377,21.6507033714312,21.4994576139362,10123,10123,-2.19236141386498,0.48581311708055896,-0.8532741483922092,0.9118970782000029,0.20097758070750305,False,False,HMPREF0995_04952
10135,24.4536211161206,21.879694669619898,23.851251692060398,25.722383762302798,24.7804151633494,25.217678681813002,25.1258468226122,26.62714198041,24.688634338427896,24.607873725961298,24.5864229831564,25.662216023975397,26.483765492119698,25.672668471229997,23.552594407019402,25.494670766747397,25.252896594700697,10135,10135,-0.731196289629916,1.6491026888094398,0.458953199589761,0.935424974628832,0.43402184208833394,False,False,sp|P23953|EST1C_MOUSE
102,22.599664768687,22.641696122445502,21.5434316719939,22.824946313733,21.8784614662667,21.512207091340798,22.878012358857102,22.050503331540497,23.9949354328397,22.2902618923417,22.077873175250502,22.644826230974804,18.920547672159,22.0823062972728,23.4378509801607,22.550788581606803,21.7735996363444,102,102,-1.6150495438647199,0.6875945920137049,-0.46372747592550606,0.9341407692666541,0.414128157380886,False,False,WP_084769261.1
10256,20.5313452860687,18.243796918838697,23.1338340985283,19.5924552122904,21.948853413541197,21.109178978938104,20.4875603888012,19.753089405452002,18.8385453393428,20.1269728663373,20.386461419604302,21.5030599646877,22.2030229316944,23.401403633711098,21.0794300942147,19.999108166341397,17.8077070995379,10256,10256,-1.06951033803811,1.88771098389222,0.40910032292705295,0.9427214953038481,0.5733986478062281,False,False,sp|Q8VCI0|PLBL1_MOUSE
10282,25.621792799063503,26.138024119011998,24.662943324642,26.043663539723802,25.419067652818498,25.4795645190274,26.1129879572643,27.8046555752379,26.354970006061397,26.4251117703627,26.530259422247802,25.372840057820802,27.988580242125696,22.8569564213377,27.0156948235834,24.4899309919435,25.839537296753804,10282,10282,-1.40517673901943,1.1154223860409198,-0.14487717648925302,0.9512625612737851,0.8145319615751571,False,False,WP_016282516.1
104,28.370359764997897,26.1885362154035,26.0880510031745,29.1813403524423,27.596862057858896,27.1477762188631,29.0509351224416,28.8872614955467,27.319855617726002,27.4100884909717,27.0487679640241,28.2935176753206,28.2602801760902,27.168807512778397,28.695423776676897,28.7315029735603,27.362389977227203,104,104,-0.987538745571592,1.21223830479963,0.112349779614018,0.951841556203703,0.8348604152080259,False,False,sp|Q60997|DMBT1_MOUSE
10460,19.330717783242896,18.5929606428807,20.7639927962218,16.4288017865085,19.8848755331958,20.4209594179861,17.677740284451197,20.569609032932398,18.5292589615756,22.335613337726897,22.768267328474398,22.610265882413,21.1448026086629,21.543062037244397,16.7425462864483,17.377524051985,22.5484809338022,10460,10460,0.00944068073390669,3.4917741050675897,1.75060739290075,0.8500834279905071,0.0488645850056028,False,False,SRS022609.131407-T1-C
