ClusterID,p_value,control_mean,treatment_mean,foldchange,padj,cluster_representative
13611,0.0002232446542091731,36631597.36362699,6456422.950379537,0.17625283675973094,0.07766245016786681,Q9EST5-2
1593,0.0006789565863657059,67936450.41795893,35454083.58688183,0.5218712983790155,0.07766245016786681,G3UY93
16081,0.0005105645202781868,106951023.33867244,57761821.54759631,0.5400773152463162,0.07766245016786681,Q9D172
163,0.0001907291602355636,95031847.43455853,28399572.901335903,0.2988426897718957,0.07766245016786681,Q8CHI8
16813,0.0009536448217082648,63777911.5060721,32134889.90472246,0.5038561023068777,0.07766245016786681,O55135
18201,0.00011552884081043066,99387687.10744606,35551400.09634885,0.3577042703279224,0.07766245016786681,Q8R2M0
18515,0.0009074747739120369,1156354530.9402187,570988416.2800826,0.4937831789492954,0.07766245016786681,P35700
20863,0.0009294351057094393,179797347.5002168,60548301.20068257,0.3367585898374255,0.07766245016786681,Q4VWZ5
20951,0.0005171913241042759,33941752.390616365,7789333.403354407,0.22949119755843456,0.07766245016786681,Q642K5
21083,0.0007107172564331537,798947084.5988396,339694337.44680977,0.4251775167530327,0.07766245016786681,P01729
21207,0.0007966997498457107,44778299.60118882,23315192.71647268,0.5206806181593747,0.07766245016786681,P70349
3421,0.0003871238568075563,126645799.65881336,71951991.73442058,0.5681356344092016,0.07766245016786681,O88990
3794,0.0007057600084153057,590387427.3769871,90563191.64040464,0.15339620635684073,0.07766245016786681,Q9DBN5
6112,0.0004238837796816313,1802853333.8177164,1180728072.5892632,0.6549218677089818,0.07766245016786681,P63017
67,0.0007975814868254915,291827216.85841215,89724928.97634059,0.3074590846674629,0.07766245016786681,B1AR51
9978,0.0007529039036996814,73141330.45299591,20134372.84898253,0.2752803746429229,0.07766245016786681,Q9D2G2
16196,0.0013101807327879677,18054402158.174896,26220275879.061672,1.452292667979002,0.07855361719123663,Q61754
16500,0.0011545326985640588,299092681.8925516,161684809.43106696,0.5405843045305665,0.07855361719123663,Q9DBJ1
17039,0.0012942301589573574,51143890.14855576,89375627.23006976,1.747532832767779,0.07855361719123663,Q60692
18089,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.07855361719123663,P19157
22126,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.07855361719123663,P10639
2947,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.07855361719123663,P97449
