ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
4211,3.1899118411280205e-5,120043143.7060209,62463660.439504564,0.5203434241315327,0.04280861690793804
17039,2.2324465420917307e-4,36631597.36362699,6456422.950379537,0.17625283675973094,0.05991886518974205
194,1.9072916023556356e-4,95031847.43455853,28399572.9013359,0.2988426897718957,0.05991886518974205
24274,1.1552884081043066e-4,99387687.10744606,35551400.09634885,0.3577042703279224,0.05991886518974205
30574,1.60369461289532e-4,79205328.59852567,23959765.729655895,0.30250194214965836,0.05991886518974205
11731,7.576729402384925e-4,1526591191.8023136,748464750.8522402,0.49028499238790507,0.06296202090116526
12317,7.529039036996814e-4,73141330.4529959,20134372.848982535,0.2752803746429229,0.06296202090116526
1915,6.789565863657059e-4,67936450.41795893,35454083.58688183,0.5218712983790155,0.06296202090116526
20432,4.073322376752004e-4,30761602.309903607,15293622.004065149,0.497165974970732,0.06296202090116526
20896,5.105645202781867e-4,106951023.33867243,57761821.54759631,0.5400773152463162,0.06296202090116526
21075,3.654391549517989e-4,32951385.38968089,15943906.887440704,0.48386150381506343,0.06296202090116526
29479,5.17191324104276e-4,33941752.390616365,7789333.403354408,0.22949119755843456,0.06296202090116526
29729,5.572996014434691e-4,405786299.87823397,208274745.37674826,0.5132621417707945,0.06296202090116526
29957,7.966997498457106e-4,44778299.60118882,23315192.716472678,0.5206806181593747,0.06296202090116526
34543,4.256792075314206e-4,23635140.965180658,8987380.212537767,0.3802549866648985,0.06296202090116526
4661,7.057600084153056e-4,590387427.3769871,90563191.64040463,0.15339620635684073,0.06296202090116526
82,7.975814868254915e-4,291827216.85841215,89724928.97634059,0.30745908466746286,0.06296202090116526
24800,9.07474773912037e-4,1156354530.9402187,570988416.2800826,0.4937831789492954,0.06564746904537198
29295,9.294351057094393e-4,179797347.5002168,60548301.20068257,0.3367585898374255,0.06564746904537198
10690,0.001338920797210057,2459110.1463240464,6807214.137429067,2.7681615431519813,0.07379388884490232
22406,0.0012942301589573576,51143890.14855576,89375627.23006976,1.747532832767779,0.07379388884490232
23220,0.0014846758560449797,1879711693.9070098,818233935.9319687,0.43529757174157746,0.07379388884490232
24088,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.07379388884490232
31897,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.07379388884490232
3557,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.07379388884490232
8066,0.0012145439393883497,156993645.50962865,40822553.32486591,0.26002678765977316,0.07379388884490232
88,0.001431150854617559,28647237.719885465,5946024.474481952,0.20756013311379487,0.07379388884490232
1956,0.0016535005263454668,25280880.47385226,9265499.874186005,0.3665022618088485,0.07924991808412916
77,0.0018712326213651937,59342505.291548274,22211992.552026033,0.37430156416381577,0.08659290268524447
25662,0.0019737304907323674,95455781.83093616,29820791.407576982,0.31240424451599214,0.08829154395209457
31017,0.002116702309873155,54544238.035060585,29296407.01277143,0.5371127742941416,0.09000179134294656
9569,0.0021460933852267437,544256546.5146798,234418137.84709927,0.43071257359837106,0.09000179134294656
30507,0.002470714610968583,9306656.525602087,3516385.969289944,0.37783558033076264,0.10047572751272238
