"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster10664",2.76296606338088,5.00502688680992,0.892336179734157,5.60890278852194,2.03613346628014e-08,3.03180273129112e-05
"Cluster98",5.87886998874663,3.74429280492943,0.8126588101228,4.6074598075958,4.07617961969015e-06,0.00303471572685932
"Cluster88",3.32807308145946,-4.31707162879384,1.0298340455982,-4.19200709788747,2.76497343542117e-05,0.0136797292717471
"Cluster6287",1.77237636530664,4.36475948289709,1.05760452134542,4.12702422768061,3.67487690308855e-05,0.0136797292717471
"Cluster60",4.29103647229786,-3.48254701425322,0.917904695401328,-3.79401808455786,0.00014822887076738,0.0418954921374654
"Cluster27738",1.78345011224973,-4.30543975905479,1.14457224338607,-3.7616146852537,0.000168819981749357,0.0418954921374654
"Cluster14715",4.59272651336923,2.11604805112517,0.620639068125888,3.40946640293672,0.000650900946274429,0.0979184590489364
"Cluster21436",4.97849693787459,-1.7825425000547,0.517130102314403,-3.44699040353091,0.000566868717368434,0.0979184590489364
"Cluster22722",1.26860400844881,3.88467521717342,1.12821638285275,3.4432005032145,0.000574872936599372,0.0979184590489364
"Cluster31619",2.45954582718666,-3.4061324100986,0.999842972377967,-3.40666735097178,0.000657612216581171,0.0979184590489364
"Cluster120",1.68789670728858,-4.22470929779419,1.3490886833613,-3.13152823079664,0.00173899066123601,0.229525434275779
"Cluster2023",2.59018316810947,-3.0441133439666,0.977761531392394,-3.11334946838376,0.00184976844278667,0.229525434275779
"Cluster10654",2.60268318802627,2.44141576511814,0.794676729812674,3.07221247776269,0.00212478420156005,0.243369513547917
"Cluster6333",1.56320507605365,-4.11446325867611,1.36328556832804,-3.01804944925969,0.00254407388233687,0.252541734053306
"Cluster11565",1.06507676580575,3.62931724289307,1.19900287552029,3.02694623757109,0.00247037891594674,0.252541734053306
"Cluster21278",1.5602180468605,-3.15433479318224,1.057892837108,-2.98171486046295,0.00286638831266694,0.266753262347567
"Cluster62",1.21285461712907,3.81589602589064,1.28865802084849,2.96113939009058,0.00306503187082477,0.26846073268577
"Cluster3697",1.2014799325603,-3.73731718545804,1.29462702885156,-2.88679063712531,0.00389193110726594,0.272196726446072
"Cluster3775",7.6219693007066,-1.53791718030428,0.529141188766959,-2.90644012024094,0.00365566859619363,0.272196726446072
"Cluster10753",1.67820634612014,2.87414958740706,0.999198955307278,2.87645375542171,0.00402171120336708,0.272196726446072
"Cluster13754",1.23731608597416,-3.77046339793435,1.30501783120908,-2.88920450568946,0.00386217806475254,0.272196726446072
"Cluster29814",1.21184073378896,-3.74753762582378,1.28193680124429,-2.92334038790858,0.00346297718526647,0.272196726446072
"Cluster77",5.67099187239414,-3.93382215737481,1.38538709853314,-2.83951118177726,0.00451827115332023,0.292508945534514
"Cluster64",8.58872377042454,-1.15337771028636,0.410512184333284,-2.80960652156908,0.00496021016702697,0.295430117548126
"Cluster7270",2.20553663299549,-2.79296905018825,0.989780491252316,-2.82180652667184,0.00477539769484749,0.295430117548126
"Cluster5701",1.15819278090645,-3.15771299087851,1.13523351905431,-2.78155369611443,0.00540993803566849,0.298348064263347
"Cluster29338",1.12047402877434,3.20871399826141,1.1510519732261,2.78763606934986,0.00530941519606133,0.298348064263347
"Cluster4604",2.6735924286927,-2.40926634161705,0.870126720902622,-2.76886835416089,0.00562513589770917,0.299136691131748
"Cluster3023",1.28739492761349,-3.34189193309185,1.25841932226534,-2.6556266849717,0.00791611936415254,0.299486975231827
"Cluster5483",2.54923379496539,-2.35112743794848,0.864411130541411,-2.71991805158257,0.00652980966296689,0.299486975231827
"Cluster6868",1.31844045602313,2.97251291113574,1.10853756680212,2.68147241929813,0.00732989563801627,0.299486975231827
"Cluster8111",1.27536203680245,3.89066845652855,1.42702866317215,2.72641226972972,0.0064026970741936,0.299486975231827
"Cluster9485",1.7217443195054,2.87763272934446,1.08087268675531,2.66232347676661,0.0077603261459044,0.299486975231827
"Cluster13390",1.33012514967588,-2.88881880774671,1.08333782984318,-2.66659090836408,0.00766248799071832,0.299486975231827
"Cluster17570",1.372443156952,-2.94893741923209,1.07737043798949,-2.73716199669929,0.00619717675041157,0.299486975231827
"Cluster19969",1.6133626435193,2.80778695879724,1.03565593464308,2.71111946050394,0.00670564624160905,0.299486975231827
"Cluster25515",3.49450585557926,-1.82297686711532,0.668449528699519,-2.72717204343304,0.00638797229550619,0.299486975231827
"Cluster29740",3.39453011714283,-2.14813194839301,0.810566277902966,-2.65016200026294,0.00804531834068038,0.299486975231827
"Cluster31467",4.22270847929893,-1.85750116673507,0.698974899864433,-2.65746476317724,0.00787308203928912,0.299486975231827
"Cluster33053",1.02188545697647,-3.50219174218273,1.31823007536208,-2.65673785452117,0.00789007698387707,0.299486975231827
"Cluster4743",2.01582090547314,2.3591810422035,0.902542872906627,2.61392684272803,0.00895081999382099,0.325067584653645
"Cluster2026",1.84897268621758,-2.95285091678522,1.13640111566825,-2.5984231061308,0.00936530176745269,0.328616227406552
"Cluster3400",9.70563540966799,0.799895297441668,0.308555434827715,2.59238764628566,0.00953123079418081,0.328616227406552
"Cluster31782",2.70326787388049,-1.93726965826445,0.749147069893932,-2.58596707658316,0.0097106205546597,0.328616227406552
"Cluster3674",2.03856433172748,-2.26592372747623,0.893225886018804,-2.53678690121228,0.0111875030871897,0.357625749202802
"Cluster14089",1.48198388776094,-3.07161791126383,1.21233287802587,-2.53364234109163,0.0112883883227211,0.357625749202802
"Cluster23947",1.46034470950285,-3.05456964880828,1.19970714127644,-2.54609607938011,0.0108935200624834,0.357625749202802
"Cluster7686",2.41838537806389,2.54876229149918,1.02657548908307,2.48278116768179,0.0130361143649038,0.399965065611684
"Cluster31743",0.968379494963329,-3.41982707795911,1.37932162492618,-2.4793543551832,0.0131620471557908,0.399965065611684
"Cluster1554",2.37211534580971,-2.21209907844543,0.899016097646639,-2.46057782973638,0.0138713482049197,0.408485207241388
"Cluster10357",10.9931875207172,0.715721387579419,0.292070481621763,2.45050914972741,0.0142654336981546,0.408485207241388
"Cluster30408",0.91556535190973,3.41409032113456,1.38983327381665,2.45647473366287,0.0140307668220416,0.408485207241388
"Cluster8778",6.89001741673363,1.13958069738647,0.467051895616342,2.43994448600328,0.0146895190801112,0.412692337929916
"Cluster10454",1.04065594655038,3.10068291765096,1.28146169397322,2.41964541915972,0.0155356476130318,0.420592350832807
"Cluster29211",1.52046939619431,2.71741543345286,1.12275635375676,2.42030733058009,0.0155073946694589,0.420592350832807
"Cluster166",9.83417785681891,-0.798490961063165,0.335855690810082,-2.37748230240557,0.017431279422228,0.436225945469008
"Cluster7189",5.22705443511401,-1.06121132423751,0.447523213911798,-2.37129894326927,0.0177256877203588,0.436225945469008
