"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster11694",6.97167519200523,3.9729044634898,0.676740786414593,5.8706443342043,4.34104661686077e-09,2.96927588593277e-06
"Cluster419",3.98785163961026,-4.56526348381873,0.938583397663946,-4.86399343434081,1.15040731055703e-06,0.000393439300210504
"Cluster323",18.4061133082303,-1.18946949667565,0.28031428351562,-4.24334244319507,2.20215001081465e-05,0.00345532667641046
"Cluster6675",2.44898217331906,-4.28885853999538,1.01813154943293,-4.21247975508092,2.5258235938673e-05,0.00345532667641046
"Cluster20414",2.20310449595991,-4.58381322731844,1.08470267356015,-4.22587068239972,2.38018658441058e-05,0.00345532667641046
"Cluster13041",2.19583167068701,-4.57906027944946,1.0991170395617,-4.16612618550203,3.09819255628231e-05,0.00353193951416183
"Cluster15864",1.81576594500571,-4.30575213478027,1.09618830987107,-3.92793108265013,8.56797537535912e-05,0.00837213593820806
"Cluster704",2.38895333442663,-3.77551497492417,0.978003552180366,-3.86043073821871,0.000113187321679613,0.00967751600360691
"Cluster7858",1.86796206211117,-4.34656093971126,1.15486825898447,-3.76368551641848,0.000167427415256701,0.0127244835595093
"Cluster14812",1.55432778952597,-4.06722078113619,1.13878663187497,-3.57153892335359,0.000354889791911909,0.0220676925152496
"Cluster24656",5.63858832236541,-1.95237427861716,0.546489591769927,-3.57257358240614,0.000353490112150475,0.0220676925152496
"Cluster10178",1.60302345179195,-4.12737031124252,1.19771369249967,-3.44604085023738,0.000568864359221642,0.0324252684756336
"Cluster653",3.81341668050497,-5.36491179369961,1.58652312246664,-3.3815528546212,0.000720773651205658,0.0379237828788208
"Cluster5206",2.15774144715529,-4.54784789917474,1.42947156343278,-3.18148889107902,0.00146520142005587,0.0666723902540112
"Cluster6179",1.32719982604981,-3.846004478248,1.20150122556209,-3.20099921367017,0.00136951905855604,0.0666723902540112
"Cluster14805",6.37283872268742,-1.45065652671295,0.458580771109567,-3.16336100007636,0.00155958807611722,0.0666723902540112
"Cluster4416",10.472904990994,-1.17951126051475,0.387196726158123,-3.0462841776019,0.00231688744095437,0.0858292051810121
"Cluster11145",3.59883808637926,-2.00548065292911,0.659797454112444,-3.03953984731098,0.002369398564119,0.0858292051810121
"Cluster25212",3.27761301662066,-2.25885214213494,0.743613276704393,-3.03767053776381,0.00238414458836145,0.0858292051810121
"Cluster1065",21.8015556001955,-0.749639998437955,0.253350535438188,-2.95890433837607,0.00308734923838718,0.0959884945025831
"Cluster18046",1.34003107953923,-3.85531701329813,1.30255089633604,-2.95982062900021,0.00307818206169654,0.0959884945025831
"Cluster19535",5.65535996351158,-1.47411258705369,0.494360305968978,-2.98185871570804,0.00286504183778213,0.0959884945025831
"Cluster11953",1.3073492700849,-3.81294367624448,1.30249701153906,-2.92741069074625,0.00341797209841744,0.0974122048048969
"Cluster14353",1.77203514255167,-3.32147369272704,1.13335484814764,-2.93065644723334,0.00338246626956434,0.0974122048048969
"Cluster5218",1.27090661889635,3.85451894098066,1.33793340889992,2.88094976576594,0.00396478825536544,0.108476606666798
"Cluster11963",5.51740091092722,-1.41503555538812,0.49907604962227,-2.83531048316002,0.00457811686888682,0.12043968993533
"Cluster2104",4.63290703032052,-2.68818644539539,0.965173481783055,-2.78518473220923,0.00534972351232176,0.127120051065366
