"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster8779",2.00510393366725,4.30741967216492,0.960283375013388,4.4855714305216,7.2718778823713e-06,0.0539355182535479
"Cluster79",3.57552097929854,2.28527293896363,0.644737553144538,3.54450105755096,0.000393356926649703,0.972509441653616
"Cluster1315",1.7883765606155,3.33666626079543,0.934214419188845,3.57162787499317,0.000354769255390639,0.972509441653616
"Cluster0",1.94541716833866,-2.81307762624621,1.31000296978063,-2.14738263281745,0.0317628321260633,0.997676966686502
"Cluster1",0.0544068746265146,0.121499750466333,2.718051241122,0.0447010522201113,0.964345594987849,0.997676966686502
"Cluster2",0.108016027795257,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster3",0.0992698904426203,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster6",1.59525675379368,0.0405109466547469,0.791936317775416,0.0511542983260876,0.95920256878527,0.997676966686502
"Cluster9",2.10399070342282,0.178556359311058,0.622032624164139,0.287053045732118,0.774071703873749,0.997676966686502
"Cluster19",0.108016027795257,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster23",0.0540080138976286,0.121499784721973,2.71348952681597,0.0447762128879641,0.964285685437253,0.997676966686502
"Cluster24",3.63499802898491,-0.639194622175248,1.56309952496773,-0.408927654295361,0.682592753826012,0.997676966686502
"Cluster25",2.53043811174167,1.61414052122733,1.62639679724452,0.992464153865797,0.320971157300475,0.997676966686502
"Cluster27",0.317730516476474,1.64635110872005,3.01111188117953,0.546758530963363,0.584544636475095,0.997676966686502
"Cluster28",0.111942383211639,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster31",0.440337840160827,-0.888753175043584,2.24502889294922,-0.395876052123346,0.692196468523636,0.997676966686502
"Cluster32",0.690910500748345,-3.13759187544584,3.00035332980286,-1.04574079468567,0.295680722582083,0.997676966686502
"Cluster36",1.67872254781931,-0.837800803082445,1.46866673645958,-0.570449906901327,0.568372588488989,0.997676966686502
"Cluster41",0.0617952999302454,-0.559766694836257,2.80005969712082,-0.199912414514534,0.841549081050044,0.997676966686502
"Cluster42",0.165553830159484,0.762688864553194,3.05565529406515,0.249599117424838,0.802897381182214,0.997676966686502
"Cluster44",1.08180942047458,-1.71194978999987,1.27955788726405,-1.33792289277382,0.180921573647863,0.997676966686502
"Cluster45",1.16199950863362,-0.108351768102632,1.1456040276434,-0.094580470640908,0.924648062457614,0.997676966686502
"Cluster46",0.685658811507037,2.75579364320656,3.00612970642108,0.916724796445141,0.359286868981834,0.997676966686502
"Cluster47",14.2097855387611,-0.24668974751177,0.253283784762236,-0.973965813655793,0.330073513746894,0.997676966686502
"Cluster48",2.72020671424511,-0.341206884540182,0.587912454798544,-0.580370226477174,0.56166497872091,0.997676966686502
"Cluster57",0.115075604728454,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster58",0.052375188042468,-0.559766399288384,2.69465930296019,-0.207731789571119,0.835438394595226,0.997676966686502
"Cluster59",0.108813749253029,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster60",0.484339789742255,2.25264309068717,2.27245668769946,0.991280979250547,0.321548398099691,0.997676966686502
"Cluster61",0.263714927502706,1.37844093743627,3.04895121958361,0.452103309683163,0.651194559487243,0.997676966686502
"Cluster62",0.105485971001083,0.442092960054951,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster65",0.688804182275269,1.78266642263639,1.63396900909715,1.09100381507322,0.275271203879722,0.997676966686502
"Cluster68",23.9371857103532,-0.200212132562393,0.196537923302023,-1.01869465800106,0.308347949479386,0.997676966686502
"Cluster69",11.3679373551756,1.30778714535339,1.16830429852567,1.11938914117131,0.262974161475641,0.997676966686502
"Cluster71",8.94447560743926,0.606398300090621,0.535039950540108,1.13337013334888,0.257058850927451,0.997676966686502
"Cluster74",0.432064111181028,2.08781741278829,2.89384266225053,0.721468875977038,0.470621083310471,0.997676966686502
"Cluster80",7.40892779354387,1.13393985610844,0.720148872724454,1.57459089232278,0.115350906463767,0.997676966686502
"Cluster81",4.40905841299488,1.63596277865042,1.77552892693643,0.921394607449835,0.356844443149208,0.997676966686502
"Cluster83",0.110280787864768,0.442093695587622,2.98415251098329,0.148147151983848,0.882226638072957,0.997676966686502
"Cluster87",0.158228956501624,0.762688864553194,3.05565529406515,0.249599117424838,0.802897381182214,0.997676966686502
"Cluster89",0.0617952999302454,-0.559766694836257,2.80005969712082,-0.199912414514534,0.841549081050044,0.997676966686502
"Cluster90",0.0992698904426203,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster91",3.19232679972572,2.38279567257696,1.54207103511817,1.54519189992721,0.122299853043466,0.997676966686502
"Cluster93",0.125116802453824,-0.92043606831142,3.05565529406515,-0.301223789901675,0.763243850076683,0.997676966686502
"Cluster94",0.158228956501624,0.762688864553194,3.05565529406515,0.249599117424838,0.802897381182214,0.997676966686502
"Cluster95",0.111942383211639,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster96",0.105485971001083,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster97",0.117259666227251,-0.92043606831142,3.05565529406515,-0.301223789901675,0.763243850076683,0.997676966686502
"Cluster100",0.0586298331136254,-0.559766596625655,2.7654808283565,-0.202412032976674,0.839594622140523,0.997676966686502
"Cluster101",0.100103017970415,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster102",1.03915081173621,0.448465169059337,1.14603558634767,0.391318711566857,0.69556166957336,0.997676966686502
"Cluster103",0.108813749253029,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster104",10.257684185775,-0.159225454916611,0.287719566276072,-0.553405028992122,0.579986096072813,0.997676966686502
"Cluster105",0.108813749253029,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster106",0.105485971001083,0.442092960054951,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster109",0.125116802453824,-0.92043606831142,3.05565529406515,-0.301223789901675,0.763243850076683,0.997676966686502
"Cluster112",0.673226650390112,2.73040761335375,3.00660883329804,0.908135299515727,0.363806742478071,0.997676966686502
"Cluster115",0.591820064387767,2.5422666338546,3.01043236438753,0.844485550955675,0.398398134162388,0.997676966686502
"Cluster116",0.520602750821488,2.36211108311316,2.03393450551983,1.16135061217689,0.245499344813692,0.997676966686502
"Cluster117",0.637907493384415,2.65122104283849,3.00815817460536,0.881343629208028,0.378131858436112,0.997676966686502
"Cluster118",2.2143923472468,0.17954351106498,0.663663305807583,0.270534033588765,0.786749437678789,0.997676966686502
"Cluster119",1.51158897321638,2.19020606833881,1.03131512364719,2.12370207526217,0.0336950637540375,0.997676966686502
"Cluster120",0.117259666227251,-0.92043606831142,3.05565529406515,-0.301223789901675,0.763243850076683,0.997676966686502
"Cluster121",2.74679086399314,-0.139380234289749,0.548192653586188,-0.254254108255458,0.799299251299035,0.997676966686502
"Cluster122",3.94384531145271,-0.324021265301779,0.446191942061217,-0.726192552480751,0.46772073693409,0.997676966686502
"Cluster126",0.0992698904426203,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster127",0.0500515089852077,0.121500127505998,2.66741247630761,0.0455498085073761,0.963669074622134,0.997676966686502
"Cluster128",0.0625584012269118,-0.559766718360135,2.80827898864215,-0.199327317771513,0.842006711414807,0.997676966686502
"Cluster130",5.22439419490147,-0.049103860730314,0.385495448804174,-0.127378574462128,0.898640773197837,0.997676966686502
"Cluster132",0.104750376084936,-0.92043606831142,3.05565529406515,-0.301223789901675,0.763243850076683,0.997676966686502
"Cluster133",0.100103017970415,0.44209296005495,3.05565529406515,0.144680246136927,0.884963336338049,0.997676966686502
"Cluster134",5.46933351711856,-0.705658800794246,0.388940454371929,-1.81431062997487,0.0696299159330268,0.997676966686502
